Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
84,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-206,1999,15,15,1350,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0,player_goalkeeping_big5.csv
85,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26-101,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,player_goalkeeping_big5.csv
86,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,28-070,1997,31,31,2790,31.0,74,2.39,195,121,68.7,6,6,19,3,9.7,15,13,2,0,13.3,player_goalkeeping_big5.csv
87,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-076,1993,27,27,2430,27.0,26,0.96,100,75,77.0,8,10,9,10,37.0,4,3,1,0,25.0,player_goalkeeping_big5.csv
88,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,34-008,1991,27,27,2430,27.0,61,2.26,154,95,63.6,3,4,20,1,3.7,6,5,1,0,16.7,player_goalkeeping_big5.csv
89,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-061,1992,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0,player_goalkeeping_big5.csv
90,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-182,1992,29,29,2610,29.0,42,1.45,148,108,75.0,11,7,11,9,31.0,5,5,0,0,0.0,player_goalkeeping_big5.csv
91,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34-215,1990,15,15,1293,14.4,24,1.67,66,43,69.7,4,5,6,2,13.3,5,4,0,1,0.0,player_goalkeeping_big5.csv
92,Pau López,es ESP,GK,Girona,es La Liga,30-142,1994,1,0,45,0.5,2,4.00,3,1,33.3,0,0,0,0,,0,0,0,0,,player_goalkeeping_big5.csv
93,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,30-078,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26-082,1999,5,5,450,5.0,7,1.40,18,11,61.1,4,0,1,2,40.0,0,0,0,0,,player_goalkeeping_big5.csv
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,29-305,1995,33,33,2934,32.6,36,1.10,120,86,70.8,14,9,10,11,33.3,2,1,1,0,50.0,player_goalkeeping_big5.csv
96,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25-169,1999,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,player_goalkeeping_big5.csv
97,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,24-217,2000,30,30,2700,30.0,45,1.50,120,76,65.8,10,10,10,7,23.3,6,4,2,0,33.3,player_goalkeeping_big5.csv
98,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,40-037,1985,17,17,1485,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,player_goalkeeping_big5.csv
99,Christos Mandas,gr GRE,GK,Lazio,it Serie A,23-229,2001,5,5,450,5.0,3,0.60,17,14,82.4,2,3,0,3,60.0,0,0,0,0,,player_goalkeeping_big5.csv
100,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23-207,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
101,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32-244,1992,34,34,2970,33.0,45,1.36,132,86,66.7,16,9,9,6,17.6,2,1,1,0,50.0,player_goalkeeping_big5.csv
102,Josep Martinez,es ESP,GK,Inter,it Serie A,26-342,1998,4,4,360,4.0,3,0.75,11,8,72.7,3,1,0,2,50.0,0,0,0,0,,player_goalkeeping_big5.csv
103,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35-152,1989,5,5,450,5.0,13,2.60,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,player_goalkeeping_big5.csv
104,Alex Meret,it ITA,GK,Napoli,it Serie A,28-043,1997,31,31,2735,30.4,23,0.76,77,53,71.4,20,7,4,14,45.2,4,1,2,1,66.7,player_goalkeeping_big5.csv
105,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,34-021,1991,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
106,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,28-073,1997,34,34,3060,34.0,37,1.09,157,118,77.1,10,14,10,10,29.4,5,1,4,0,80.0,player_goalkeeping_big5.csv
107,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-073,1996,34,34,3060,34.0,62,1.82,153,91,60.8,9,5,20,8,23.5,4,2,1,1,33.3,player_goalkeeping_big5.csv
108,Florian Müller,de GER,GK,Freiburg,de Bundesliga,27-172,1997,8,7,663,7.4,14,1.90,28,15,57.1,4,0,3,1,14.3,2,2,0,0,0.0,player_goalkeeping_big5.csv
109,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,34-050,1991,32,32,2849,31.7,60,1.90,163,103,66.3,7,5,20,7,21.9,5,5,0,0,0.0,player_goalkeeping_big5.csv
110,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31-296,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,,player_goalkeeping_big5.csv
111,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,26-178,1998,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,player_goalkeeping_big5.csv
