Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
43,Egil Selvik,no NOR,GK,Watford,,27-278,1997,16,16,1440,16.0,19,1.19,71,52,73.2,4,4,8,6,37.5,0,0,0,0,,player_goalkeeping_efl_championship.csv
44,James Shea,eng ENG,GK,Luton Town,,33-322,1991,2,1,147,1.6,1,0.61,5,4,80.0,0,0,1,1,100.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
45,Balázs Tóth,hu HUN,GK,Blackburn,,27-242,1997,6,6,540,6.0,5,0.83,21,16,76.2,4,1,1,2,33.3,0,0,0,0,,player_goalkeeping_efl_championship.csv
46,James Trafford,eng ENG,GK,Burnley,,22-206,2002,45,45,4050,45.0,16,0.36,103,85,84.5,27,16,2,29,64.4,2,0,2,0,100.0,player_goalkeeping_efl_championship.csv
47,Mark Travers,ie IRL,GK,Middlesbrough,,25-351,1999,17,17,1530,17.0,20,1.18,83,64,75.9,6,2,9,4,23.5,0,0,0,0,,player_goalkeeping_efl_championship.csv
48,Josh Vickers,eng ENG,GK,Derby County,,29-154,1995,6,6,540,6.0,6,1.00,17,11,64.7,3,1,2,3,50.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
49,Lawrence Vigouroux,cl CHI,GK,Swansea City,,31-166,1993,46,46,4140,46.0,56,1.22,166,113,68.7,17,10,19,14,30.4,4,4,0,0,0.0,player_goalkeeping_efl_championship.csv
50,Joe Walsh,eng ENG,GK,QPR,,23-033,2002,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_efl_championship.csv
51,Jacob Widell Zetterström,se SWE,GK,Derby County,,26-297,1998,40,40,3600,40.0,50,1.25,150,99,67.3,10,10,20,9,22.5,3,1,2,0,66.7,player_goalkeeping_efl_championship.csv
52,Joe Wildsmith,eng ENG,GK,West Brom,,29-127,1995,10,10,900,10.0,9,0.90,28,19,67.9,3,4,3,2,20.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
53,Ben Wilson,eng ENG,GK,Coventry City,,32-268,1992,4,4,360,4.0,5,1.25,22,17,77.3,2,0,2,2,50.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
54,Freddie Woodman,eng ENG,GK,Preston,,28-061,1997,37,37,3329,37.0,43,1.16,130,86,69.2,10,16,11,12,32.4,4,3,1,0,25.0,player_goalkeeping_efl_championship.csv
1,Luis Barraza,us USA,GK,D.C. United,,28-178,1996,4,4,360,4.0,6,1.50,16,10,62.5,2,0,2,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
2,Adam Beaudry,us USA,GK,Colorado Rapids,,19-017,2006,1,1,90,1.0,3,3.00,5,3,40.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
3,Andre Blake,jm JAM,GK,Philadelphia Union,,34-165,1990,9,9,810,9.0,9,1.00,30,21,73.3,6,1,2,4,44.4,1,1,0,0,0.0,player_goalkeeping_mls.csv
4,Jonathan Bond,eng ENG,GK,Houston Dynamo,,31-351,1993,3,3,270,3.0,4,1.33,15,11,80.0,1,1,1,1,33.3,1,1,0,0,0.0,player_goalkeeping_mls.csv
5,Christopher Brady,us USA,GK,Chicago Fire,,21-063,2004,11,11,935,10.4,22,2.12,56,34,66.1,3,4,4,1,9.1,5,3,1,1,25.0,player_goalkeeping_mls.csv
6,Sebastian Breza,ca CAN,GK,CF Montréal,,27-051,1998,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
7,Roman Bürki,ch SUI,GK,St. Louis,,34-172,1990,3,3,270,3.0,0,0.00,9,9,100.0,1,2,0,3,100.0,0,0,0,0,,player_goalkeeping_mls.csv
8,Evan Bush,us USA,GK,Columbus Crew,,39-060,1986,1,1,90,1.0,0,0.00,0,0,,0,1,0,1,100.0,0,0,0,0,,player_goalkeeping_mls.csv
9,Rafael Cabral,br BRA,GK,Real Salt Lake,,34-350,1990,11,11,990,11.0,17,1.55,52,33,71.2,4,0,7,2,18.2,4,2,2,0,50.0,player_goalkeeping_mls.csv
10,Drake Callender,us USA,GK,Inter Miami,,27-210,1997,3,2,185,2.1,5,2.43,13,8,61.5,0,1,1,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
11,Roman Celentano,us USA,GK,FC Cincinnati,,24-233,2000,11,11,990,11.0,13,1.18,43,30,72.1,7,1,3,4,36.4,3,1,1,1,50.0,player_goalkeeping_mls.csv
12,Michael Collodi,us USA,GK,FC Dallas,,23-345,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_mls.csv
13,Carlos Coronel,py PAR,GK,NY Red Bulls,,28-127,1996,10,10,900,10.0,12,1.20,48,36,77.1,3,3,4,4,40.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
14,Maxime Crépeau,ca CAN,GK,Portland Timbers,,30-359,1994,2,2,180,2.0,8,4.00,18,10,55.6,0,0,2,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
15,Daniel,br BRA,GK,SJ Earthquakes,,30-364,1994,10,10,830,9.2,13,1.41,53,40,77.4,4,1,5,1,10.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
16,C.J. dos Santos,us USA,GK,San Diego FC,,24-254,2000,11,11,990,11.0,15,1.36,51,36,76.5,5,2,4,4,36.4,3,3,0,0,0.0,player_goalkeeping_mls.csv
17,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,,33-101,1992,2,1,160,1.8,7,3.94,9,2,22.2,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
18,Matt Freese,us USA,GK,NYCFC,,26-245,1998,11,11,990,11.0,13,1.18,49,38,73.5,5,2,4,4,36.4,0,0,0,0,,player_goalkeeping_mls.csv
19,Stefan Frei,ch SUI,GK,Seattle Sounders,,39-015,1986,10,10,900,10.0,11,1.10,32,23,68.8,3,4,3,3,30.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
20,Jeffrey Gal,us USA,GK,Chicago Fire,,32-029,1993,1,0,51,0.6,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,player_goalkeeping_mls.csv
21,Pedro Gallese,pe PER,GK,Orlando City,,35-071,1990,10,10,900,10.0,11,1.10,45,34,77.8,3,5,2,5,50.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
22,Blake Gillingham,us USA,GK,Houston Dynamo,,22-206,2002,4,3,294,3.3,4,1.22,15,11,73.3,1,1,1,2,66.7,0,0,0,0,,player_goalkeeping_mls.csv
23,Brad Guzan,us USA,GK,Atlanta Utd,,40-238,1984,11,11,990,11.0,20,1.82,56,36,69.6,2,4,5,1,9.1,3,3,0,0,0.0,player_goalkeeping_mls.csv
24,Nicholas Hansen,dk DEN,GK,Colorado Rapids,,23-299,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
25,Thomas Hasal,ca CAN,GK,LAFC,,25-300,1999,1,1,90,1.0,5,5.00,9,4,44.4,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_mls.csv
26,Aljaž Ivačič,si SVN,GK,NE Revolution,,31-127,1993,10,10,900,10.0,7,0.70,38,31,81.6,5,1,4,5,50.0,0,0,0,0,,player_goalkeeping_mls.csv
27,Sean Johnson,us USA,GK,Toronto FC,,35-339,1989,11,11,990,11.0,16,1.45,53,37,75.5,1,4,6,3,27.3,3,3,0,0,0.0,player_goalkeeping_mls.csv
28,Kim Joonhong,kr KOR,GK,D.C. United,,21-336,2003,7,7,630,7.0,17,2.43,39,22,61.5,1,3,3,1,14.3,2,2,0,0,0.0,player_goalkeeping_mls.csv
29,Kristijan Kahlina,hr CRO,GK,Charlotte,,32-285,1992,11,11,990,11.0,12,1.09,57,45,84.2,6,1,4,4,36.4,3,3,0,0,0.0,player_goalkeeping_mls.csv
30,Hugo Lloris,fr FRA,GK,LAFC,,38-130,1986,10,10,900,10.0,11,1.10,28,18,64.3,5,2,3,4,40.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
31,Benjamin Lundt,de GER,GK,St. Louis,,29-223,1995,8,8,720,8.0,12,1.50,43,30,74.4,1,2,5,2,25.0,2,1,1,0,50.0,player_goalkeeping_mls.csv
32,AJ Marcucci,us USA,GK,NY Red Bulls,,25-278,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
33,Jimmy Maurer,us USA,GK,Houston Dynamo,,36-203,1988,2,1,120,1.3,1,0.75,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
34,John McCarthy,us USA,GK,LA Galaxy,,32-305,1992,8,8,720,8.0,14,1.75,33,19,66.7,0,3,5,0,0.0,4,3,1,0,25.0,player_goalkeeping_mls.csv
35,Novak Mićović,rs SRB,GK,LA Galaxy,,23-192,2001,3,3,270,3.0,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
36,Javier Otero,ve VEN,GK,Orlando City,,22-168,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
37,Maarten Paes,id IDN,GK,FC Dallas,,26-356,1998,10,10,900,10.0,19,1.90,48,29,66.7,3,3,4,1,10.0,3,3,0,0,0.0,player_goalkeeping_mls.csv
38,James Pantemis,ca CAN,GK,Portland Timbers,,28-073,1997,9,9,810,9.0,11,1.22,43,29,79.1,5,3,1,3,33.3,5,2,3,0,60.0,player_goalkeeping_mls.csv
39,John Pulskamp,us USA,GK,Sporting KC,,24-016,2001,11,11,990,11.0,21,1.91,50,30,62.0,3,1,7,2,18.2,2,2,0,0,0.0,player_goalkeeping_mls.csv
40,Andrew Rick,us USA,GK,Philadelphia Union,,19-095,2006,2,2,180,2.0,1,0.50,3,2,66.7,1,0,1,1,50.0,0,0,0,0,,player_goalkeeping_mls.csv
41,Rocco Ríos Novo,ar ARG,GK,Inter Miami,,22-335,2002,2,1,140,1.6,1,0.64,4,3,75.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_mls.csv
42,Patrick Schulte,us USA,GK,Columbus Crew,,24-053,2001,10,10,900,10.0,10,1.00,35,25,74.3,7,2,1,2,20.0,1,1,0,0,0.0,player_goalkeeping_mls.csv
43,Jonathan Sirois,ca CAN,GK,CF Montréal,,23-312,2001,10,10,900,10.0,15,1.50,51,36,70.6,0,3,7,2,20.0,0,0,0,0,,player_goalkeeping_mls.csv
44,Alec Smir,us USA,GK,Minnesota Utd,,26-022,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
45,Dayne St. Clair,ca CAN,GK,Minnesota Utd,,27-361,1997,10,10,900,10.0,8,0.80,35,28,77.1,5,3,2,6,60.0,1,0,0,1,,player_goalkeeping_mls.csv
46,Zack Steffen,us USA,GK,Colorado Rapids,,30-033,1995,9,9,810,9.0,12,1.33,47,35,74.5,4,3,2,3,33.3,0,0,0,0,,player_goalkeeping_mls.csv
47,Brad Stuver,us USA,GK,Austin,,34-019,1991,11,11,990,11.0,13,1.18,49,36,73.5,5,1,5,5,45.5,1,0,1,0,100.0,player_goalkeeping_mls.csv
48,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,,29-050,1996,11,11,990,11.0,8,0.73,26,18,73.1,8,2,1,5,45.5,1,1,0,0,0.0,player_goalkeeping_mls.csv
49,Andrew Tarbell,us USA,GK,Houston Dynamo,,31-210,1993,4,4,306,3.4,7,2.06,15,8,53.3,0,1,3,1,25.0,0,0,0,0,,player_goalkeeping_mls.csv
50,Andrew Thomas,ru RUS,GK,Seattle Sounders,,26-246,1998,1,1,90,1.0,2,2.00,2,0,0.0,1,0,0,0,0.0,0,0,0,0,,player_goalkeeping_mls.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_mls.csv
51,Óscar Ustari,ar ARG,GK,Inter Miami,,38-306,1986,7,7,572,6.4,5,0.79,25,20,80.0,5,2,0,2,28.6,0,0,0,0,,player_goalkeeping_mls.csv
52,Joe Willis,us USA,GK,Nashville SC,,36-268,1988,11,11,990,11.0,14,1.27,46,31,73.9,5,2,4,3,27.3,3,2,1,0,33.3,player_goalkeeping_mls.csv
1,Nordin Bakker,nl NED,GK,Almere City,,27-186,1997,31,31,2790,31.0,59,1.90,161,106,63.4,4,8,19,7,22.6,0,0,0,0,,player_goalkeeping_eredivisie.csv
2,Vasilios Barkas,gr GRE,GK,Utrecht,,30-340,1994,29,29,2610,29.0,41,1.41,131,91,71.0,16,8,5,7,24.1,3,3,0,0,0.0,player_goalkeeping_eredivisie.csv
3,Walter Benítez,ar ARG,GK,PSV Eindhoven,,32-106,1993,31,31,2745,30.5,35,1.15,94,59,64.9,22,4,5,9,29.0,2,2,0,0,0.0,player_goalkeeping_eredivisie.csv
4,Daniel Bielica,pl POL,GK,NAC Breda,,26-005,1999,30,30,2700,30.0,50,1.67,153,104,71.2,8,8,14,5,16.7,6,6,0,0,0.0,player_goalkeeping_eredivisie.csv
5,Justin Bijlow,nl NED,GK,Feyenoord,,27-103,1998,4,4,360,4.0,8,2.00,16,8,50.0,1,1,2,0,0.0,0,0,0,0,,player_goalkeeping_eredivisie.csv
6,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,,31-125,1993,25,25,2250,25.0,38,1.52,117,79,69.2,9,5,11,8,32.0,2,2,0,0,0.0,player_goalkeeping_eredivisie.csv
7,Michael Brouwer,nl NED,GK,Utrecht,,32-104,1993,2,2,180,2.0,1,0.50,8,7,100.0,2,0,0,1,50.0,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
8,Jari De Busser,be BEL,GK,Go Ahead Eag,,25-196,1999,14,14,1260,14.0,22,1.57,76,55,72.4,6,4,4,4,28.6,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
9,Mickey van der Hart,nl NED,GK,Heerenveen,,30-326,1994,18,18,1620,18.0,33,1.83,100,68,70.0,5,6,7,2,11.1,3,3,0,0,0.0,player_goalkeeping_eredivisie.csv
10,Thomas Didillon,fr FRA,GK,Willem II,,29-158,1995,31,31,2790,31.0,51,1.65,163,115,71.8,6,7,18,5,16.1,5,5,0,0,0.0,player_goalkeeping_eredivisie.csv
11,Joel Drommel,nl NED,GK,PSV Eindhoven,,28-170,1996,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,player_goalkeeping_eredivisie.csv
12,Stijn van Gassel,nl NED,GK,NEC Nijmegen,,28-199,1996,2,2,180,2.0,4,2.00,15,11,80.0,0,0,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
13,Mike Hauptmeijer,nl NED,GK,Zwolle,,28-048,1997,4,4,360,4.0,6,1.50,16,10,62.5,2,1,1,0,0.0,1,0,0,1,,player_goalkeeping_eredivisie.csv
14,Jeroen Houwen,nl NED,GK,RKC Waalwijk,,29-076,1996,24,24,2160,24.0,48,2.00,133,87,65.4,4,4,16,4,16.7,2,2,0,0,0.0,player_goalkeeping_eredivisie.csv
15,Hidde Jurjus,nl NED,GK,Groningen,,31-085,1994,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_eredivisie.csv
16,Fabian de Keijzer,nl NED,GK,Heracles Almelo,,24-360,2000,31,31,2790,31.0,56,1.81,163,111,69.3,8,11,12,6,19.4,6,6,0,0,0.0,player_goalkeeping_eredivisie.csv
17,Joey Kesting,nl NED,GK,RKC Waalwijk,,24-059,2001,3,3,270,3.0,5,1.67,13,8,84.6,0,2,1,0,0.0,3,3,0,0,0.0,player_goalkeeping_eredivisie.csv
18,Luuk Koopmans,nl NED,GK,Fortuna Sittard,,31-168,1993,6,6,540,6.0,15,2.50,35,19,60.0,1,1,4,0,0.0,2,1,1,0,50.0,player_goalkeeping_eredivisie.csv
19,Roy Kortsmit,nl NED,GK,NAC Breda,,32-252,1992,1,1,90,1.0,3,3.00,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
20,Matheus,br BRA,GK,Ajax,,32-290,1992,9,9,810,9.0,9,1.00,23,14,60.9,6,2,1,4,44.4,0,0,0,0,,player_goalkeeping_eredivisie.csv
21,Andries Noppert,nl NED,GK,Heerenveen,,31-028,1994,13,13,1170,13.0,20,1.54,56,37,66.1,6,1,6,3,23.1,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
22,Nick Olij,nl NED,GK,Sparta R'dam,,29-277,1995,31,31,2790,31.0,39,1.26,129,91,72.9,8,11,12,5,16.1,5,4,1,0,20.0,player_goalkeeping_eredivisie.csv
23,Yanick van Osch,nl NED,GK,RKC Waalwijk,,28-042,1997,3,3,270,3.0,9,3.00,26,17,69.2,0,1,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
24,Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,,20-307,2004,25,25,2250,25.0,31,1.24,74,43,59.5,9,8,8,8,32.0,3,1,1,1,50.0,player_goalkeeping_eredivisie.csv
25,Remko Pasveer,nl NED,GK,Ajax,,41-178,1983,21,21,1890,21.0,18,0.86,75,58,76.0,16,3,2,10,47.6,0,0,0,0,,player_goalkeeping_eredivisie.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_eredivisie.csv
26,Luca Plogmann,de GER,GK,Go Ahead Eag,,25-056,2000,17,17,1530,17.0,27,1.59,72,45,65.3,7,4,6,4,23.5,2,2,0,0,0.0,player_goalkeeping_eredivisie.csv
27,Diant Ramaj,de GER,GK,Ajax,,23-228,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_eredivisie.csv
28,Robin Roefs,nl NED,GK,NEC Nijmegen,,22-108,2003,29,29,2610,29.0,41,1.41,140,103,71.4,9,7,13,8,27.6,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
29,Jasper Schendelaar,nl NED,GK,Zwolle,,24-245,2000,27,27,2430,27.0,43,1.59,135,93,70.4,6,9,12,5,18.5,5,3,0,2,0.0,player_goalkeeping_eredivisie.csv
30,Mark Spenkelink,nl NED,GK,RKC Waalwijk,,28-098,1997,1,1,90,1.0,6,6.00,12,6,58.3,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_eredivisie.csv
31,Przemysław Tytoń,pl POL,GK,Twente,,38-121,1987,2,2,180,2.0,8,4.00,16,8,50.0,1,0,1,0,0.0,0,0,0,0,,player_goalkeeping_eredivisie.csv
32,Lars Unnerstall,de GER,GK,Twente,,34-289,1990,29,29,2610,29.0,36,1.24,94,58,63.8,13,9,7,10,34.5,2,2,0,0,0.0,player_goalkeeping_eredivisie.csv
33,Etienne Vaessen,sr SUR,GK,Groningen,,29-283,1995,30,30,2700,30.0,45,1.50,125,81,68.0,10,8,12,7,23.3,6,5,1,0,16.7,player_goalkeeping_eredivisie.csv
34,Timon Wellenreuther,de GER,GK,Feyenoord,,29-153,1995,27,27,2430,27.0,25,0.93,89,63,73.0,18,7,2,9,33.3,2,1,1,0,50.0,player_goalkeeping_eredivisie.csv
35,Jeroen Zoet,nl NED,GK,AZ Alkmaar,,34-119,1991,6,6,540,6.0,3,0.50,12,10,75.0,5,0,1,3,50.0,0,0,0,0,,player_goalkeeping_eredivisie.csv
