Rk,Player,Nation,Pos,Squad,Comp,AGE,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
89,Bernd Leno,de GER,GK,Fulham,eng Premier League,33.16712329,1992,35,35,3150,35,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0
90,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32.49863014,1992,29,29,2610,29,42,1.45,148,108,75,11,7,11,9,31,5,5,0,0,0
91,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34.5890411,1990,15,15,1293,14.4,24,1.67,66,43,69.7,4,5,6,2,13.3,5,4,0,1,0
92,Pau López,es ESP,GK,Girona,es La Liga,30.3890411,1994,1,0,45,0.5,2,4,3,1,33.3,0,0,0,0,,0,0,0,0,
93,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,30.21369863,1995,3,3,270,3,7,2.33,20,13,65,0,1,2,0,0,0,0,0,0,
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26.22465753,1999,5,5,450,5,7,1.4,18,11,61.1,4,0,1,2,40,0,0,0,0,
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,29.83561644,1995,33,33,2934,32.6,36,1.1,120,86,70.8,14,9,10,11,33.3,2,1,1,0,50
96,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25.4630137,1999,15,15,1350,15,22,1.47,65,43,69.2,7,2,6,3,20,2,2,0,0,0
97,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,24.59452055,2000,30,30,2700,30,45,1.5,120,76,65.8,10,10,10,7,23.3,6,4,2,0,33.3
98,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,40.10136986,1985,17,17,1485,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3
99,Christos Mandas,gr GRE,GK,Lazio,it Serie A,23.62739726,2001,5,5,450,5,3,0.6,17,14,82.4,2,3,0,3,60,0,0,0,0,
100,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23.56712329,2001,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,0,
101,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32.66849315,1992,34,34,2970,33,45,1.36,132,86,66.7,16,9,9,6,17.6,2,1,1,0,50
102,Josep Martinez,es ESP,GK,Inter,it Serie A,26.9369863,1998,4,4,360,4,3,0.75,11,8,72.7,3,1,0,2,50,0,0,0,0,
103,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35.41643836,1989,5,5,450,5,13,2.6,37,24,70.3,0,0,5,0,0,2,2,0,0,0
104,Alex Meret,it ITA,GK,Napoli,it Serie A,28.11780822,1997,31,31,2735,30.4,23,0.76,77,53,71.4,20,7,4,14,45.2,4,1,2,1,66.7
105,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,34.05753425,1991,2,2,180,2,4,2,11,7,63.6,1,0,1,0,0,0,0,0,0,
106,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,28.2,1997,34,34,3060,34,37,1.09,157,118,77.1,10,14,10,10,29.4,5,1,4,0,80
107,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29.2,1996,34,34,3060,34,62,1.82,153,91,60.8,9,5,20,8,23.5,4,2,1,1,33.3
108,Florian Müller,de GER,GK,Freiburg,de Bundesliga,27.47123288,1997,8,7,663,7.4,14,1.9,28,15,57.1,4,0,3,1,14.3,2,2,0,0,0
109,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,34.1369863,1991,32,32,2849,31.7,60,1.9,163,103,66.3,7,5,20,7,21.9,5,5,0,0,0
110,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31.8109589,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20,0,0,0,0,
111,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,26.48767123,1998,18,18,1620,18,33,1.83,100,67,70,2,6,10,1,5.6,3,3,0,0,0
112,Juan Musso,ar ARG,GK,Atalanta,it Serie A,30.99452055,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,
113,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,30.99452055,1994,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,
114,Neto,br BRA,GK,Bournemouth,eng Premier League,35.79178082,1989,2,2,180,2,2,1,13,11,84.6,0,2,0,0,0,0,0,0,0,
115,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39.10410959,1986,20,20,1800,20,15,0.75,37,22,62.2,16,4,0,11,55,2,1,0,1,0
116,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,27.53424658,1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0
117,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,28.59178082,1996,32,32,2880,32,51,1.59,131,80,62.6,12,8,12,6,18.8,3,2,1,0,33.3
118,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,34.64657534,1990,26,26,2313,25.7,32,1.25,96,64,69.8,7,9,10,6,23.1,4,3,1,0,25
119,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32.32054795,1993,33,33,2970,33,27,0.82,103,78,78.6,18,10,5,14,42.4,5,5,0,0,0
120,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,25.68219178,1999,22,22,1980,22,33,1.5,90,60,67.8,6,4,12,4,18.2,5,4,0,1,0
121,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,35.31780822,1990,3,1,180,2,4,2,9,5,55.6,1,0,0,1,100,0,0,0,0,
122,Jonas Omlin,ch SUI,GK,Gladbach,de Bundesliga,31.31232877,1994,10,9,798,8.9,23,2.59,57,33,63.2,2,1,6,1,11.1,3,2,1,0,33.3
123,André Onana,cm CMR,GK,Manchester Utd,eng Premier League,29.08767123,1996,33,33,2970,33,43,1.3,129,86,69,10,9,14,9,27.3,4,3,1,0,25
124,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,32.49041096,1992,13,12,1100,12.2,18,1.47,50,33,68,5,4,3,3,25,2,2,0,0,0
125,Jesús Owono,gq EQG,GK,Alavés,es La Liga,24.17534247,2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0,1,1,0,0,0
126,Daniele Padelli,it ITA,GK,Udinese,it Serie A,39.52328767,1985,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,
127,Alex Padilla,es ESP,GK,Athletic Club,es La Liga,21.67123288,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0,1,1,0,0,0
128,Alberto Paleari,it ITA,GK,Torino,it Serie A,32.67945205,1992,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,0,0,0,0,
129,Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,28.73150685,1996,11,11,990,11,27,2.45,63,38,58.7,1,3,7,0,0,1,1,0,0,0
130,Rui Patrício,pt POR,GK,Atalanta,it Serie A,37.21369863,1988,2,2,180,2,1,0.5,9,8,88.9,1,1,0,1,50,0,0,0,0,
131,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,26.17260274,1999,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0
132,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,24.81643836,2000,3,3,270,3,5,1.67,7,2,28.6,2,0,1,0,0,0,0,0,0,
133,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30.32054795,1995,1,1,90,1,1,1,6,5,83.3,0,0,1,0,0,0,0,0,0,
134,Mattia Perin,it ITA,GK,Juventus,it Serie A,32.47945205,1992,5,5,450,5,3,0.6,16,13,81.3,2,3,0,3,60,0,0,0,0,
135,Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,27.39726027,1997,30,30,2700,30,40,1.33,149,109,75.2,16,6,8,9,30,3,3,0,0,0
136,Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,25.56986301,1999,29,29,2610,29,33,1.14,140,108,80,15,8,6,10,34.5,6,5,1,0,16.7
137,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,24.43013699,2000,6,6,540,6,15,2.5,35,21,60,1,3,2,0,0,1,1,0,0,0
138,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31.15890411,1994,35,35,3150,35,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100
139,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,23.67123288,2001,5,4,384,4.3,7,1.64,18,11,61.1,0,2,2,1,25,0,0,0,0,
140,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33.04109589,1992,24,24,2160,24,32,1.33,105,74,70.5,12,5,7,7,29.2,2,1,1,0,50
141,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31.13150685,1994,29,29,2610,29,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0
142,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27.93424658,1997,12,12,1080,12,11,0.92,50,39,82,1,7,4,4,33.3,2,2,0,0,0
143,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,23.55616438,2001,2,1,145,1.6,2,1.24,4,3,50,0,0,1,1,100,0,0,0,0,
144,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,22.01917808,2003,1,1,90,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,
145,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26.97260274,1998,27,27,2430,27,62,2.3,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6
146,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25.47671233,1999,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40,1,1,0,0,0
