Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,11.5,2,13,6,46.2,1.13,0.52,0.15,0.33,17.0,0,0,0,1.8,1.8,0.14,+0.2,+0.2,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,3.3,0,2,1,50.0,0.61,0.30,0.00,0.00,13.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,10.6,0,19,5,26.3,1.79,0.47,0.00,0.00,20.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2.0,0,3,0,0.0,1.51,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,1.6,0,4,1,25.0,2.47,0.62,0.00,0.00,16.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,25.5,1,17,4,23.5,0.67,0.16,0.06,0.25,19.2,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,9.2,0,5,1,20.0,0.55,0.11,0.00,0.00,23.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,2.5,1,8,2,25.0,3.16,0.79,0.13,0.50,23.2,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,5.8,1,7,3,42.9,1.21,0.52,0.14,0.33,14.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,2.4,0,2,0,0.0,0.83,0.00,0.00,,8.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
67,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,10.3,4,43,17,39.5,4.16,1.65,0.09,0.24,14.5,0,0,0,4.9,4.9,0.11,-0.9,-0.9,Matches
