Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,9,2,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,6,4,271,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,9,8,23,0.00,0.33,0.33,0.00,0.33,0.03,0.20,0.23,0.03,0.23,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,27,27,2321,25.8,1,5,6,1,0,0,1,0,1.5,1.5,2.9,4.4,42,336,15,0.04,0.19,0.23,0.04,0.23,0.06,0.11,0.17,0.06,0.17,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,30,30,2515,27.9,5,0,5,5,0,0,6,0,2.4,2.4,1.8,4.1,29,73,67,0.18,0.00,0.18,0.18,0.18,0.08,0.06,0.15,0.08,0.15,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,9,4,402,4.5,1,1,2,1,0,0,2,0,0.6,0.6,0.1,0.6,5,17,11,0.22,0.22,0.45,0.22,0.45,0.13,0.01,0.15,0.13,0.15,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,30,28,2343,26.0,0,2,2,0,0,0,8,0,0.3,0.3,0.8,1.1,59,150,57,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,3,2,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,12,14,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,23,23,1963,21.8,9,5,14,9,0,0,4,0,5.5,5.5,3.8,9.3,40,108,125,0.41,0.23,0.64,0.41,0.64,0.25,0.17,0.42,0.25,0.42,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,28,20,1446,16.1,4,2,6,4,0,0,6,0,10.0,10.0,1.3,11.3,18,18,163,0.25,0.12,0.37,0.25,0.37,0.63,0.08,0.70,0.63,0.70,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,22,21,1747,19.4,3,2,5,3,0,0,5,0,3.4,3.4,1.2,4.6,23,78,74,0.15,0.10,0.26,0.15,0.26,0.18,0.06,0.24,0.18,0.24,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,9,3,307,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,7,12,15,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.18,0.13,0.18,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,22,18,1545,17.2,0,1,1,0,0,0,3,0,0.7,0.7,0.5,1.3,22,79,2,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,19,11,915,10.2,3,1,4,3,0,0,5,0,2.2,2.2,2.2,4.3,16,34,32,0.30,0.10,0.39,0.30,0.39,0.21,0.21,0.42,0.21,0.42,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,12,2,308,3.4,0,1,1,0,0,0,0,0,1.8,1.8,1.1,2.9,7,3,25,0.00,0.29,0.29,0.00,0.29,0.54,0.31,0.85,0.54,0.85,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,14,13,1029,11.4,3,2,5,3,0,0,1,0,3.8,3.8,1.4,5.2,15,23,48,0.26,0.17,0.44,0.26,0.44,0.34,0.12,0.45,0.34,0.45,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,18,14,1182,13.1,0,3,3,0,0,0,1,0,0.5,0.5,2.5,3.0,61,47,79,0.00,0.23,0.23,0.00,0.23,0.04,0.19,0.23,0.04,0.23,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,12,2,231,2.6,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.2,1,5,13,0.00,0.00,0.00,0.00,0.00,0.42,0.07,0.49,0.42,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,25,22,1839,20.4,6,1,7,5,1,2,2,0,6.0,4.5,1.5,6.0,14,41,58,0.29,0.05,0.34,0.24,0.29,0.29,0.08,0.37,0.22,0.29,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,12,8,772,8.6,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,22,37,30,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,24,11,1098,12.2,4,1,5,4,0,0,0,0,2.8,2.8,1.1,3.9,19,56,36,0.33,0.08,0.41,0.33,0.41,0.23,0.09,0.32,0.23,0.32,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,11,0,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,3,34,6,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.26,0.03,0.26,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,18,9,788,8.8,4,1,5,4,0,0,1,0,5.4,5.4,0.8,6.2,4,16,38,0.46,0.11,0.57,0.46,0.57,0.62,0.09,0.71,0.62,0.71,Matches
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,3,0,52,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,23,21,1819,20.2,6,5,11,6,0,0,1,0,3.0,3.0,3.0,6.0,107,65,176,0.30,0.25,0.54,0.30,0.54,0.15,0.15,0.30,0.15,0.30,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,6,2,120,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,3,13,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.45,0.38,0.45,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,23,20,1820,20.2,0,2,2,0,0,0,3,0,0.4,0.4,2.3,2.7,14,161,31,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,29,19,1573,17.5,2,3,5,2,0,0,6,0,1.5,1.5,2.2,3.7,22,98,36,0.11,0.17,0.29,0.11,0.29,0.09,0.12,0.21,0.09,0.21,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,23,10,1088,12.1,1,2,3,1,0,0,1,0,0.6,0.6,3.0,3.6,44,21,71,0.08,0.17,0.25,0.08,0.25,0.05,0.25,0.30,0.05,0.30,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,13,8,650,7.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,5,28,13,0.00,0.14,0.14,0.00,0.14,0.01,0.04,0.05,0.01,0.05,Matches
89,Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,29-096,1996,23,20,1709,19.0,9,4,13,8,1,1,6,1,4.1,3.3,1.6,4.9,20,38,69,0.47,0.21,0.68,0.42,0.63,0.22,0.09,0.30,0.17,0.26,Matches
90,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,28-107,1997,18,13,1185,13.2,4,1,5,4,0,0,5,0,4.8,4.8,0.9,5.7,15,6,56,0.30,0.08,0.38,0.30,0.38,0.36,0.07,0.43,0.36,0.43,Matches
91,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-084,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
