Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
95,Benjamín Bosch,ar ARG,MF,Vélez Sarsfield,19-324,2005,1.2,0,2,1,50.0,1.70,0.85,0.00,0.00,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
96,Sebastián Boselli,uy URU,DF,Estudiantes–LP,21-152,2003,11.6,0,5,0,0.0,0.43,0.00,0.00,,12.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
97,Rubén Botta,ar ARG,MF,Talleres,35-094,1990,7.1,0,13,3,23.1,1.83,0.42,0.00,0.00,23.9,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
98,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,24-009,2001,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Walter Bou,ar ARG,FW,Lanús,31-253,1993,11.4,3,27,10,37.0,2.38,0.88,0.07,0.20,15.5,0,1,1,3.6,2.8,0.10,-0.6,-0.8,Matches
100,Agustín Bouzat,ar ARG,MF,Vélez Sarsfield,31-038,1994,13.6,0,6,2,33.3,0.44,0.15,0.00,0.00,27.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Mariano Bracamonte,ar ARG,DF,Deportivo Riestra,26-011,1999,6.5,0,2,0,0.0,0.31,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
102,Malcom Braida,ar ARG,"FW,MF",San Lorenzo,27-353,1997,14.8,2,25,14,56.0,1.69,0.95,0.08,0.14,18.7,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
103,Moisés Brandán,ar ARG,DF,Atlé Tucumán,25-086,2000,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Agustin Bravo,ar ARG,"DF,FW",Rosario Central,23-359,2001,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Gonzalo Bravo,ar ARG,"FW,MF",Deportivo Riestra,34-352,1990,1.4,0,4,3,75.0,2.81,2.11,0.00,0.00,14.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
