Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
113,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-189,1996,24.5,1572,1339,221,108,10,12,143,9,92,34,41,1,1210,12,34,Matches
114,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-290,2006,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0,Matches
115,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,18-290,2006,2.4,76,73,3,0,1,0,4,0,3,1,0,0,65,0,2,Matches
116,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-106,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
117,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-106,2006,9.5,301,290,7,4,1,1,1,1,0,0,0,0,232,4,4,Matches
118,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-360,2000,25.4,693,650,38,0,9,13,32,16,0,0,0,0,487,5,41,Matches
119,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-256,1996,2.0,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0,Matches
120,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-338,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
121,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-338,1996,25.7,1794,1689,98,79,0,30,10,8,0,0,0,0,1485,7,7,Matches
122,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-179,2002,26.4,1151,1070,75,21,6,3,73,2,45,15,27,0,895,6,32,Matches
123,André,br BRA,MF,Wolves,eng Premier League,23-292,2001,25.0,1197,1165,30,27,5,14,0,1,0,0,0,0,1111,2,14,Matches
124,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-274,1990,27.9,1790,1728,55,51,0,19,14,4,0,0,0,0,1489,7,29,Matches
125,Marcos André,br BRA,FW,Valladolid,es La Liga,28-196,1996,13.1,210,185,22,2,3,6,1,1,0,0,0,0,138,3,5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
126,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,30-224,1994,16.5,910,885,24,15,2,7,9,4,0,0,0,0,810,1,5,Matches
127,Angeliño,es ESP,DF,Roma,it Serie A,28-120,1997,31.3,1775,1509,260,39,1,17,99,212,8,3,5,0,1393,6,24,Matches
128,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,20-067,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
129,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-162,2001,11.6,409,388,20,8,2,4,17,0,8,4,2,0,329,1,7,Matches
130,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-288,1996,19.7,1716,1642,74,31,2,6,24,35,0,0,0,0,1546,0,17,Matches
131,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-111,2003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
132,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,17-120,2008,1.5,97,88,9,2,0,0,2,7,0,0,0,0,81,0,4,Matches
133,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,35-037,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14,Matches
134,Antoniu,es ESP,"MF,FW",Espanyol,es La Liga,22-241,2002,9.1,191,187,2,1,2,0,18,1,0,0,0,0,131,2,11,Matches
135,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,25-069,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1,Matches
136,Antony,br BRA,FW,Betis,es La Liga,25-069,2000,11.2,588,553,34,7,2,4,30,15,12,3,4,0,475,1,15,Matches
137,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,30-109,1995,16.6,406,383,23,6,1,0,19,13,1,0,0,0,324,0,6,Matches
138,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-329,1992,21.6,1064,856,204,16,3,2,46,188,0,0,0,0,809,4,42,Matches
139,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27-093,1998,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1,Matches
140,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-216,1995,26.9,747,722,21,13,2,8,14,0,1,1,0,0,552,4,11,Matches
141,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-285,2002,24.5,1354,1075,278,33,0,3,39,245,0,0,0,0,1058,1,32,Matches
142,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-264,2001,4.7,200,174,26,1,0,0,6,25,0,0,0,0,157,0,2,Matches
143,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-058,1999,7.1,586,563,22,16,0,0,0,5,0,0,0,0,532,1,0,Matches
144,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-287,2001,15.3,233,213,19,0,2,0,3,0,0,0,0,0,189,1,7,Matches
145,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-310,1996,19.7,905,744,157,19,2,3,49,137,1,0,0,0,716,4,17,Matches
146,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-066,1993,22.1,873,628,241,65,0,3,0,0,0,0,0,0,615,4,2,Matches
147,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-204,2001,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1,Matches
148,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-306,1999,30.2,1392,1066,322,3,0,4,147,318,1,0,0,0,1000,4,59,Matches
149,David Argüelles,es ESP,MF,Getafe,es La Liga,23-123,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
150,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28-287,1996,21.2,992,978,13,4,2,1,10,4,0,0,0,0,878,1,15,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
151,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,28-083,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,Matches
152,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-105,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0,Matches
153,José Arnaiz,es ESP,"MF,FW",Osasuna,es La Liga,30-019,1995,1.4,61,52,9,3,0,1,13,1,5,4,0,0,39,0,4,Matches
154,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-024,2003,17.0,844,787,55,13,5,3,44,9,29,9,12,1,674,2,19,Matches
