Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
88,Unai Bilbao,es ESP,DF,Tijuana,31-090,1994,26.2,45,32,27,16,2,17,29,58.6,12,37,20,17,47,92,165,1,Matches
89,Alfonso Blanco Antúnez,mx MEX,GK,León,37-278,1987,26.0,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,9,3,Matches
90,Domingo Blanco,ar ARG,"FW,MF",Tijuana,30-013,1995,16.7,37,23,11,17,9,10,18,55.6,8,9,2,7,9,46,7,0,Matches
91,Rodrigo Bogarín,py PAR,"MF,FW",Querétaro,27-346,1997,7.9,13,5,5,7,1,2,11,18.2,9,12,8,4,11,24,13,0,Matches
92,Mateusz Bogusz,pl POL,"MF,FW",Cruz Azul,23-256,2001,8.0,12,11,3,7,2,3,10,30.0,7,8,1,7,1,13,3,0,Matches
93,Franck Boli,ci CIV,FW,Atlético,31-149,1993,9.0,6,1,1,3,2,2,5,40.0,3,2,0,2,3,9,6,0,Matches
94,Léo Bonatini,br BRA,FW,Atlético,31-038,1994,11.8,4,3,0,3,1,1,4,25.0,3,7,1,6,4,8,8,0,Matches
95,Cristian Borja,co COL,DF,América,32-076,1993,14.7,31,24,21,8,2,13,17,76.5,4,10,2,8,16,47,31,0,Matches
96,Frank Boya,cm CMR,MF,Tijuana,28-308,1996,8.2,11,7,3,8,0,4,6,66.7,2,13,4,9,15,26,17,0,Matches
97,Juan Brigido,mx MEX,"FW,MF",Pachuca,23-218,2001,0.6,2,0,0,2,0,0,0,,0,2,0,2,0,2,1,0,Matches
98,Antonio Briseño,mx MEX,DF,Toluca,31-089,1994,3.2,2,1,1,1,0,1,2,50.0,1,1,1,0,1,3,29,0,Matches
99,Antonio Briseño,mx MEX,DF,Guadalajara,31-089,1994,6.0,8,7,6,2,0,5,8,62.5,3,7,7,0,12,20,21,1,Matches
100,Isaác Brizuela,mx MEX,"MF,DF",Guadalajara,34-250,1990,1.4,1,0,1,0,0,1,1,100.0,0,2,0,2,2,3,2,0,Matches
