Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,19.4,1036,45,213,573,263,53,1036,27,13,48.1,7,25.9,526,2387,990,23,19,7,28,10,671,74,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,3.4,142,3,28,62,54,11,142,8,2,25.0,4,50.0,69,368,181,7,2,4,5,7,83,15,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,17.2,1291,149,566,691,41,8,1291,5,2,40.0,0,0.0,822,5037,3111,22,11,1,10,3,882,2,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,10.2,525,15,64,220,248,27,525,19,12,63.2,6,31.6,219,1202,476,16,9,6,20,15,291,32,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,3.4,112,4,8,46,59,22,112,8,4,50.0,2,25.0,66,350,130,7,2,5,11,9,87,25,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,11.4,372,2,16,155,206,51,372,24,10,41.7,14,58.3,219,999,422,15,14,6,31,19,258,48,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,13.1,798,23,208,371,232,27,798,30,15,50.0,14,46.7,468,3268,1923,61,21,10,18,7,506,79,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,2.6,77,1,6,37,34,12,77,5,1,20.0,4,80.0,39,154,33,1,0,1,18,5,51,13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,20.4,673,15,116,331,237,69,671,42,19,45.2,23,54.8,321,1514,601,14,15,3,61,28,366,58,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,1,0,0,0,1,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,1,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,8.6,483,24,141,226,120,13,483,5,4,80.0,1,20.0,262,1457,966,22,19,1,22,2,277,30,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,12.2,713,24,108,376,236,39,713,27,14,51.9,13,48.1,405,1834,943,19,12,4,24,9,464,36,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,2.6,259,14,47,142,71,2,259,3,1,33.3,2,66.7,128,534,261,3,4,0,5,1,166,6,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,8.8,275,8,29,140,109,45,275,7,3,42.9,4,57.1,150,537,172,4,4,1,24,15,203,38,Matches
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,0.6,18,0,0,9,9,1,18,0,0,,0,,12,70,11,1,1,0,2,1,17,8,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,20.2,776,12,78,281,443,104,776,121,67,55.4,50,41.3,548,4551,2785,107,51,55,58,46,571,176,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,1.3,66,1,15,18,33,8,66,6,5,83.3,0,0.0,37,253,162,7,6,3,7,5,41,13,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,20.2,1479,43,320,901,268,5,1479,11,2,18.2,9,81.8,756,2894,1324,14,25,0,20,5,957,31,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,17.5,1051,51,235,568,254,26,1051,19,8,42.1,11,57.9,522,2660,1250,22,21,7,24,6,617,36,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,12.1,348,8,60,93,207,31,348,31,13,41.9,15,48.4,228,2148,1188,44,34,17,24,17,260,71,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,7.2,412,14,98,235,85,0,412,9,6,66.7,2,22.2,213,1257,567,5,6,0,16,9,273,13,Matches
