Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Sergio Barreto,ar ARG,DF,Pachuca,26-015,1999,18.2,8,0.44,7,1,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
77,Bruno Barticciotto,cl CHI,FW,Santos,23-363,2001,7.4,27,3.63,17,1,4,3,0,2,1,0.13,0,0,1,0,0,0,Matches
78,Abraham Bass,mx MEX,MF,Atlas,23-269,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Borja Bastón,es ESP,FW,Pachuca,32-253,1992,3.9,6,1.53,4,0,0,2,0,0,1,0.26,1,0,0,0,0,0,Matches
80,Alán Bautista,mx MEX,"MF,FW",Pachuca,22-180,2002,9.9,44,4.42,30,8,2,1,2,1,5,0.50,4,1,0,0,0,0,Matches
81,Paul Bellón,mx MEX,DF,León,27-335,1997,28.3,13,0.46,12,0,0,0,0,1,2,0.07,2,0,0,0,0,0,Matches
82,Fernando Beltrán,mx MEX,"MF,FW",Guadalajara,26-362,1998,20.4,65,3.18,53,5,2,1,4,0,4,0.20,3,0,0,1,0,0,Matches
83,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,28-010,1997,14.2,73,5.14,33,26,2,3,8,1,7,0.49,6,0,0,0,1,0,Matches
84,Darío Benedetto,ar ARG,FW,Querétaro,34-353,1990,4.7,13,2.74,8,2,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
85,Pablo Bennevendo Peña,mx MEX,DF,UNAM,25-122,2000,27.0,38,1.41,30,3,1,2,1,1,1,0.04,0,0,0,1,0,0,Matches
86,Jorge Berlanga,mx MEX,DF,Pachuca,21-291,2003,11.2,10,0.89,9,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
87,Germán Berterame,mx MEX,FW,Monterrey,26-173,1998,26.0,64,2.46,51,0,2,8,3,0,5,0.19,2,0,0,2,1,0,Matches
88,Unai Bilbao,es ESP,DF,Tijuana,31-090,1994,26.2,15,0.57,14,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
89,Alfonso Blanco Antúnez,mx MEX,GK,León,37-278,1987,26.0,10,0.38,7,3,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
90,Domingo Blanco,ar ARG,"FW,MF",Tijuana,30-013,1995,16.7,67,4.02,38,5,11,3,7,3,4,0.24,1,0,1,0,1,1,Matches
91,Rodrigo Bogarín,py PAR,"MF,FW",Querétaro,27-346,1997,7.9,14,1.77,11,2,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
92,Mateusz Bogusz,pl POL,"MF,FW",Cruz Azul,23-256,2001,8.0,31,3.87,25,0,0,5,1,0,2,0.25,2,0,0,0,0,0,Matches
93,Franck Boli,ci CIV,FW,Atlético,31-149,1993,9.0,17,1.88,7,2,4,4,0,0,3,0.33,1,0,0,2,0,0,Matches
94,Léo Bonatini,br BRA,FW,Atlético,31-038,1994,11.8,18,1.53,15,0,0,2,1,0,2,0.17,1,0,0,1,0,0,Matches
95,Cristian Borja,co COL,DF,América,32-076,1993,14.7,25,1.70,21,3,0,0,1,0,1,0.07,0,1,0,0,0,0,Matches
96,Frank Boya,cm CMR,MF,Tijuana,28-308,1996,8.2,9,1.09,7,0,1,1,0,0,2,0.24,1,0,1,0,0,0,Matches
97,Juan Brigido,mx MEX,"FW,MF",Pachuca,23-218,2001,0.6,2,3.16,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Antonio Briseño,mx MEX,DF,Toluca,31-089,1994,3.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Antonio Briseño,mx MEX,DF,Guadalajara,31-089,1994,6.0,7,1.16,6,0,0,0,1,0,2,0.33,1,0,0,0,1,0,Matches
100,Isaác Brizuela,mx MEX,"MF,DF",Guadalajara,34-250,1990,1.4,3,2.13,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Juan Brunetta,ar ARG,MF,UANL,27-358,1997,24.7,134,5.44,71,35,9,8,8,3,14,0.57,9,2,1,0,1,1,Matches
102,Gustavo Cabral,ar ARG,DF,Pachuca,39-203,1985,12.1,3,0.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Luciano Cabral,cl CHI,"FW,MF",León,30-009,1995,11.9,53,4.45,37,10,2,0,3,1,5,0.42,4,0,1,0,0,0,Matches
104,Sebastián Cáceres,uy URU,DF,América,25-260,1999,9.1,5,0.55,3,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
105,Jhonder Cádiz,ve VEN,FW,León,29-280,1995,23.3,58,2.49,36,0,4,9,9,0,8,0.34,6,0,0,1,1,0,Matches
106,José Caicedo,co COL,MF,UNAM,22-347,2002,31.9,70,2.19,61,1,1,3,1,3,3,0.09,2,0,0,1,0,0,Matches
107,Cristian Calderón,mx MEX,DF,América,27-346,1997,18.3,35,1.91,29,4,1,0,1,0,2,0.11,2,0,0,0,0,0,Matches
108,Francisco Calvo,cr CRC,DF,FC Juárez,32-301,1992,3.0,3,1.00,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
109,Raúl Camacho,mx MEX,"FW,DF",Mazatlán,23-047,2002,3.8,3,0.79,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
