Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
778,Lautaro Vargas,ar ARG,DF,Unión,20-093,2005,8.4,315,415,75.9,5908,2013,139,155,89.7,130,158,82.3,41,75,54.7,0,1.8,1.3,-1.8,14,16,11,10,25,Matches
779,Ignacio Vázquez,ar ARG,DF,Platense,27-324,1997,16.0,317,472,67.2,7256,3360,73,102,71.6,179,212,84.4,61,145,42.1,0,0.2,0.3,-0.2,4,37,5,0,36,Matches
780,Kevin Vázquez,ar ARG,MF,Vélez Sarsfield,24-047,2001,3.4,140,171,81.9,2209,633,76,92,82.6,51,59,86.4,9,14,64.3,0,0.1,0.1,-0.1,2,15,3,1,21,Matches
781,Cristian Vega,ar ARG,"MF,FW",Cen. Córdoba–SdE,31-230,1993,1.3,77,92,83.7,1572,562,22,24,91.7,41,49,83.7,14,17,82.4,0,0.1,0.1,-0.1,2,11,1,0,4,Matches
782,Gabriel Vega,ar ARG,MF,Banfield,23-017,2002,2.9,83,105,79.0,1302,364,44,53,83.0,32,38,84.2,5,11,45.5,1,0.8,0.5,+0.2,5,11,2,0,14,Matches
783,Román Vega,ar ARG,"DF,MF",Arg Juniors,21-124,2004,7.9,379,482,78.6,7286,2364,143,158,90.5,186,222,83.8,46,77,59.7,1,0.9,1.4,+0.1,9,34,16,10,42,Matches
784,Alan Velasco,ar ARG,"MF,FW",Boca Juniors,22-282,2002,5.6,174,222,78.4,3235,730,82,97,84.5,63,75,84.0,24,33,72.7,0,0.9,0.7,-0.9,7,20,1,0,23,Matches
785,Juan Velazquez,ar ARG,"DF,MF",Belgrano,20-167,2004,2.3,63,94,67.0,905,309,38,46,82.6,19,29,65.5,3,11,27.3,0,0.1,0.1,-0.1,1,2,2,1,4,Matches
786,Federico Vera,ar ARG,DF,Independiente,27-042,1998,13.5,470,631,74.5,7935,3349,237,267,88.8,179,243,73.7,42,81,51.9,0,0.8,0.6,-0.8,8,25,8,5,41,Matches
787,Lionel Verde,ar ARG,MF,Unión,20-199,2004,4.9,159,202,78.7,3118,878,71,81,87.7,54,66,81.8,30,45,66.7,0,0.5,1.2,-0.5,14,18,3,3,21,Matches
788,Gastón Verón,ar ARG,"FW,MF",Cen. Córdoba–SdE,24-012,2001,7.7,240,308,77.9,3921,798,127,150,84.7,77,97,79.4,24,31,77.4,1,0.8,0.7,+0.2,13,27,9,1,38,Matches
789,Manuel Vicentini,ar ARG,GK,Belgrano,35-016,1990,5.0,83,154,53.9,2715,2215,12,12,100.0,30,31,96.8,38,108,35.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
790,Luciano Vietto,ar ARG,"MF,FW",Racing Club,31-151,1993,6.8,190,266,71.4,3683,1157,84,99,84.8,74,94,78.7,30,60,50.0,2,2.0,1.8,0.0,20,22,25,3,50,Matches
791,Alex Vigo,ar ARG,"DF,FW",Sarmiento,26-007,1999,7.1,256,324,79.0,4386,1581,119,138,86.2,117,140,83.6,16,30,53.3,1,1.1,1.1,-0.1,6,17,8,3,28,Matches
792,Sebastián Villa,co COL,FW,Ind. Rivadavia,28-351,1996,15.9,357,605,59.0,7017,2517,175,215,81.4,101,159,63.5,70,167,41.9,4,5.1,5.1,-1.1,38,40,26,16,52,Matches
793,Carlos Villalba,ar ARG,MF,Sarmiento,26-290,1998,9.4,246,339,72.6,4479,1449,100,121,82.6,110,135,81.5,29,63,46.0,0,0.4,0.3,-0.4,9,31,1,0,34,Matches
794,Iván Villalba,py PAR,DF,Ind. Rivadavia,30-106,1995,13.1,252,357,70.6,5510,1919,66,82,80.5,141,175,80.6,42,89,47.2,1,0.1,0.2,+0.9,1,20,0,0,25,Matches
795,Juan Villalba,ar ARG,DF,Gimnasia–LP,19-051,2006,0.5,17,22,77.3,409,98,2,2,100.0,13,16,81.3,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,3,Matches
796,Santiago Villarreal,ar ARG,"FW,MF",Gimnasia–LP,19-166,2005,0.6,24,33,72.7,345,119,16,19,84.2,6,9,66.7,2,3,66.7,0,0.0,0.2,0.0,2,2,2,2,2,Matches
797,Emiliano Viveros,ar ARG,"FW,MF",Arg Juniors,22-217,2002,4.7,176,222,79.3,2697,678,91,100,91.0,65,78,83.3,11,24,45.8,0,0.5,0.5,-0.5,8,15,9,3,26,Matches
798,Andrés Vombergar,si SVN,FW,San Lorenzo,30-166,1994,13.4,183,292,62.7,2529,517,106,147,72.1,63,97,64.9,5,13,38.5,1,0.9,0.5,+0.1,7,13,2,0,23,Matches
799,Franco Watson,ar ARG,MF,Huracán,25-124,2000,2.2,50,69,72.5,866,333,22,26,84.6,23,28,82.1,5,9,55.6,0,0.1,0.5,-0.1,3,10,4,0,11,Matches
800,Nicólas Watson,ar ARG,MF,San Martín de San Juan,26-348,1998,7.5,249,314,79.3,4280,1389,112,133,84.2,100,117,85.5,25,37,67.6,0,0.5,0.2,-0.5,5,28,4,1,32,Matches
