Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
70,Diego Barrera,ar ARG,"MF,FW",Cen. Córdoba–SdE,20-317,2004,3.8,6,4,1,2,3,5,8,62.5,3,2,1,1,4,10,2,0,Matches
71,Alan Barrionuevo,ar ARG,DF,Tigre,28-123,1997,1.1,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,5,0,Matches
72,Martín Barrios,uy URU,MF,Racing Club,26-101,1999,4.9,12,7,3,8,1,5,9,55.6,4,2,2,0,10,22,3,0,Matches
73,Nahuel Barrios,ar ARG,"MF,FW",Barracas Central,26-363,1998,7.4,7,4,3,1,3,3,8,37.5,5,3,0,3,5,12,2,0,Matches
74,Rafael Barrios,ar ARG,DF,Barracas Central,31-347,1993,4.0,4,2,3,1,0,2,8,25.0,6,3,2,1,3,7,18,0,Matches
75,Bautista Barros Schelotto,ar ARG,DF,Platense,25-112,2000,4.5,9,8,4,5,0,8,17,47.1,9,6,2,4,6,15,14,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Damián Batallini,ar ARG,"MF,FW",Instituto,28-315,1996,8.0,22,18,7,12,3,10,17,58.8,7,15,1,14,4,26,2,0,Matches
77,Rodrigo Battaglia,ar ARG,"DF,MF",Boca Juniors,33-297,1991,10.1,14,8,9,4,1,8,13,61.5,5,10,5,5,6,20,72,0,Matches
78,Juan Bautista Cejas,ar ARG,"FW,MF",Godoy Cruz,27-060,1998,0.8,3,2,3,0,0,2,3,66.7,1,1,0,1,0,3,1,0,Matches
79,Jonathan Bay,ar ARG,DF,Platense,32-093,1993,5.3,11,7,6,3,2,5,12,41.7,7,5,1,4,5,16,31,0,Matches
80,Tomás Belmonte,ar ARG,MF,Boca Juniors,26-343,1998,9.5,40,29,20,14,6,17,29,58.6,12,12,3,9,11,51,21,1,Matches
81,Gastón Benavídez,ar ARG,DF,Talleres,29-194,1995,9.8,19,11,2,15,2,10,15,66.7,5,12,2,10,6,25,28,1,Matches
82,Gastón Benedetti,ar ARG,DF,Estudiantes–LP,24-037,2001,6.0,13,10,9,3,1,8,9,88.9,1,5,1,4,1,14,13,0,Matches
83,Nicolás Benegas,ar ARG,FW,Deportivo Riestra,29-065,1996,10.1,10,5,1,7,2,4,9,44.4,5,13,6,7,1,11,13,0,Matches
84,Rubén Bentancourt,uy URU,FW,Arg Juniors,32-064,1993,1.1,3,2,0,3,0,1,1,100.0,0,3,0,3,1,4,0,0,Matches
85,Lucas Besozzi,ar ARG,FW,Tigre,22-103,2003,0.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
86,Juan Bisanz,ar ARG,"FW,MF",Banfield,23-250,2001,5.7,9,8,3,5,1,3,7,42.9,4,3,0,3,2,11,5,0,Matches
87,Lautaro Blanco,ar ARG,DF,Boca Juniors,26-075,1999,10.8,23,17,13,8,2,10,18,55.6,8,10,3,7,6,29,25,0,Matches
88,Pablo de Blasis,ar ARG,MF,Gimnasia–LP,37-090,1988,7.7,24,12,10,12,2,15,30,50.0,15,11,2,9,13,37,23,1,Matches
89,Lucas Blondel,ch SUI,"DF,MF",Boca Juniors,28-233,1996,6.1,11,6,6,5,0,8,10,80.0,2,5,0,5,5,16,18,0,Matches
90,Roberto Bochi,ar ARG,MF,Aldosivi,35-140,1989,10.5,20,12,8,11,1,10,18,55.6,8,10,4,6,15,35,30,1,Matches
91,Luciano Boggio,it ITA,MF,Lanús,26-056,1999,0.1,3,3,0,1,2,2,2,100.0,0,0,0,0,0,3,1,0,Matches
92,Enrique Bologna,ar ARG,GK,Defensa y Just,43-081,1982,16.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,7,1,Matches
93,Matías Borgogno,ar ARG,GK,San Martín de San Juan,26-257,1998,16.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,5,1,Matches
94,Miguel Borja,co COL,FW,River Plate,32-099,1993,10.2,7,3,0,3,4,5,5,100.0,0,8,1,7,1,8,13,0,Matches
95,Benjamín Bosch,ar ARG,MF,Vélez Sarsfield,19-324,2005,1.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
96,Sebastián Boselli,uy URU,DF,Estudiantes–LP,21-152,2003,11.6,25,12,16,9,0,11,17,64.7,6,15,9,6,18,43,69,0,Matches
97,Rubén Botta,ar ARG,MF,Talleres,35-094,1990,7.1,13,9,1,10,2,0,6,0.0,6,2,0,2,2,15,3,0,Matches
98,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,24-009,2001,8.3,24,16,12,11,1,10,27,37.0,17,16,4,12,14,38,21,0,Matches
99,Walter Bou,ar ARG,FW,Lanús,31-253,1993,11.4,13,12,2,5,6,2,3,66.7,1,15,2,13,1,14,11,1,Matches
100,Agustín Bouzat,ar ARG,MF,Vélez Sarsfield,31-038,1994,13.6,46,26,17,25,4,13,29,44.8,16,23,3,20,18,64,26,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Mariano Bracamonte,ar ARG,DF,Deportivo Riestra,26-011,1999,6.5,19,14,13,4,2,12,22,54.5,10,8,1,7,9,28,33,0,Matches
102,Malcom Braida,ar ARG,"FW,MF",San Lorenzo,27-353,1997,14.8,31,16,10,10,11,11,20,55.0,9,22,4,18,11,42,13,0,Matches
103,Moisés Brandán,ar ARG,DF,Atlé Tucumán,25-086,2000,3.4,7,6,1,5,1,4,8,50.0,4,7,1,6,3,10,13,1,Matches
104,Agustin Bravo,ar ARG,"DF,FW",Rosario Central,23-359,2001,2.2,1,0,1,0,0,0,0,,0,2,1,1,0,1,20,3,Matches
105,Gonzalo Bravo,ar ARG,"FW,MF",Deportivo Riestra,34-352,1990,1.4,2,2,0,1,1,2,4,50.0,2,0,0,0,2,4,2,0,Matches
106,Néstor Breitenbruch,ar ARG,DF,Aldosivi,29-234,1995,14.9,28,13,21,7,0,14,19,73.7,5,29,15,14,9,37,86,0,Matches
107,Leandro Brey,ar ARG,GK,Boca Juniors,22-226,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
108,Norberto Briasco,am ARM,"FW,MF",Gimnasia–LP,29-065,1996,2.6,6,5,2,4,0,3,6,50.0,3,5,0,5,3,9,4,0,Matches
109,Elías Brito,ar ARG,DF,Lanús,19-272,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
110,Miguel Brizuela,ar ARG,DF,Atlé Tucumán,28-120,1997,11.9,18,9,11,7,0,9,14,64.3,5,7,4,3,14,32,66,0,Matches
111,Manuel Brondo,ar ARG,"FW,MF",Arg Juniors,23-069,2002,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
112,Jorge Broun,ar ARG,GK,Rosario Central,38-344,1986,14.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
113,Facundo Bruera,ar ARG,"FW,MF",Barracas Central,26-224,1998,7.1,6,3,2,4,0,2,8,25.0,6,6,0,6,2,8,13,0,Matches
114,Valentín Burgoa,ar ARG,"MF,FW",Sarmiento,25-117,2000,6.8,10,7,5,3,2,6,14,42.9,8,8,0,8,6,16,5,0,Matches
115,Esteban Burgos,ar ARG,DF,San Martín de San Juan,33-116,1992,8.1,8,3,8,0,0,5,5,100.0,0,12,7,5,9,17,55,0,Matches
116,Joaquín Burgos,ar ARG,"FW,MF",Estudiantes–LP,20-142,2004,5.3,9,6,5,4,0,4,7,57.1,3,10,1,9,2,11,4,0,Matches
117,Javier Burrai,ec ECU,GK,Talleres,34-208,1990,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
