Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-161,2001,24.9,20,0.80,14,3,0,0,1,2,3,0.12,2,0,0,0,1,0,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-205,1992,6.7,8,1.19,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-079,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-015,1995,22.7,23,1.01,21,1,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-207,1995,5.8,13,2.26,7,0,2,3,1,0,2,0.35,1,0,0,1,0,0,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-314,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-042,1990,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-242,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,Matches
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-155,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,22-155,2002,6.4,26,4.03,21,1,3,0,1,0,4,0.62,4,0,0,0,0,0,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-129,1996,30.4,34,1.12,27,1,1,3,1,1,4,0.13,2,0,0,1,1,0,Matches
80,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-119,1998,5.0,8,1.60,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
81,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-119,1998,8.5,33,3.91,20,5,2,3,3,0,3,0.36,2,1,0,0,0,0,Matches
82,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-209,1998,24.9,93,3.73,71,14,4,4,0,0,10,0.40,9,1,0,0,0,0,Matches
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,26-000,1999,12.7,53,4.16,28,0,11,8,6,0,5,0.39,3,0,0,1,1,0,Matches
85,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-105,2004,17.9,59,3.30,45,3,5,1,5,0,11,0.61,8,0,1,1,1,0,Matches
86,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-290,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,23.9,6,0.25,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
88,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-073,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-066,1995,17.8,37,2.07,23,1,3,6,3,1,7,0.39,4,0,0,2,1,0,Matches
90,Dele Alli,eng ENG,MF,Como,it Serie A,29-023,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,24-008,2001,7.7,35,4.54,26,5,1,3,0,0,9,1.17,9,0,0,0,0,0,Matches
92,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-339,2000,19.5,76,3.91,48,14,1,3,8,2,4,0.21,3,1,0,0,0,0,Matches
93,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,21-000,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,Matches
94,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-083,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-298,1999,12.4,26,2.10,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0,Matches
96,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-127,1990,26.0,32,1.23,28,2,0,1,0,1,4,0.15,4,0,0,0,0,0,Matches
97,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-268,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
98,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,24-037,2001,14.1,12,0.85,9,0,1,0,2,0,1,0.07,1,0,0,0,0,0,Matches
99,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-252,2001,18.5,44,2.37,35,0,3,1,1,4,1,0.05,1,0,0,0,0,0,Matches
100,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-192,1997,18.1,25,1.38,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-306,2003,16.0,42,2.62,34,0,5,3,0,0,8,0.50,6,0,2,0,0,0,Matches
102,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-093,2000,25.2,88,3.49,63,5,8,8,1,3,9,0.36,6,0,0,2,0,1,Matches
103,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-100,1995,17.8,17,0.96,14,0,0,0,0,3,1,0.06,1,0,0,0,0,0,Matches
104,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-000,2002,2.6,2,0.76,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-090,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-170,1996,14.0,29,2.07,14,8,6,0,0,1,1,0.07,1,0,0,0,0,0,Matches
107,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,18-049,2007,1.8,5,2.71,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-292,1996,3.9,10,2.55,8,0,1,1,0,0,1,0.25,1,0,0,0,0,0,Matches
109,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-056,1994,8.8,14,1.59,13,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
110,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-277,2003,1.0,2,2.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-085,1998,22.3,35,1.57,24,7,1,1,2,0,1,0.04,1,0,0,0,0,0,Matches
112,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-082,1996,24.1,44,1.83,37,1,3,2,0,1,6,0.25,5,0,1,0,0,0,Matches
113,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-189,1996,24.5,100,4.08,62,24,6,5,3,0,13,0.53,11,0,0,2,0,0,Matches
114,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-290,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
115,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,18-290,2006,2.4,11,4.50,6,1,2,2,0,0,1,0.41,1,0,0,0,0,0,Matches
116,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-106,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-106,2006,9.5,17,1.78,14,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-360,2000,25.4,74,2.91,52,2,6,9,4,1,12,0.47,11,0,1,0,0,0,Matches
