Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
83,Leonardo Buta,pt POR,DF,Moreirense,22-334,2002,4.6,162,226,71.7,2455,964,81,103,78.6,67,83,80.7,6,20,30.0,0,0.1,0.1,-0.1,3,8,4,1,11,Matches
84,Adrián Butzke,es ESP,FW,Nacional,26-036,1999,5.4,72,109,66.1,1079,216,41,59,69.5,19,29,65.5,5,8,62.5,1,0.4,0.4,+0.6,6,7,0,0,13,Matches
85,Arthur Cabral,br BRA,FW,Benfica,27-010,1998,4.1,43,58,74.1,529,55,26,33,78.8,13,18,72.2,0,1,0.0,0,1.4,0.4,-1.4,5,1,0,0,0,Matches
86,Daniel Cabral,br BRA,MF,Estrela,22-356,2002,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
87,Jovane Cabral,cv CPV,"FW,MF",Estrela,26-325,1998,10.2,182,277,65.7,3109,950,87,112,77.7,76,97,78.4,15,51,29.4,1,1.2,1.7,-0.2,9,26,12,0,37,Matches
88,Lucas Calegari,br BRA,DF,Famalicão,23-067,2002,16.5,722,850,84.9,11795,3693,337,373,90.3,307,349,88.0,57,87,65.5,1,0.7,0.6,+0.3,8,36,6,3,49,Matches
89,Diogo Calila,pt POR,"MF,DF",Santa Clara,26-207,1998,19.1,478,667,71.7,7510,2387,262,309,84.8,172,224,76.8,33,91,36.3,2,1.1,1.0,+0.9,17,25,11,8,39,Matches
90,Ibrahima Camará,gn GUI,MF,Boavista,26-100,1999,14.8,387,524,73.9,6908,2358,191,221,86.4,138,177,78.0,49,99,49.5,0,0.7,0.9,-0.7,8,55,8,2,48,Matches
91,André Candeias,pt POR,"FW,MF",Farense,22-105,2003,0.4,7,11,63.6,111,46,4,5,80.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
92,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18.0,394,527,74.8,10616,7626,75,75,100.0,203,205,99.0,116,246,47.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
