Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-290,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-256,2000,22.4,2,11,4,36.4,0.49,0.18,0.18,0.50,23.8,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-254,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-328,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-037,2003,27.8,8,67,24,35.8,2.41,0.86,0.10,0.29,14.9,0,1,1,7.7,6.9,0.10,+0.3,+0.1,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-342,2000,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-075,2000,20.5,7,59,24,40.7,2.87,1.17,0.10,0.25,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26-055,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-214,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-214,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-088,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-083,1988,17.5,0,4,1,25.0,0.23,0.06,0.00,0.00,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-364,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-095,2000,1.5,0,2,1,50.0,1.34,0.67,0.00,0.00,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-095,2000,11.9,3,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-295,1996,26.5,9,55,22,40.0,2.08,0.83,0.16,0.41,16.3,0,0,1,8.2,7.4,0.13,+0.8,+1.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-079,1999,19.0,0,8,2,25.0,0.42,0.11,0.00,0.00,16.1,0,0,0,1.6,1.6,0.19,-1.6,-1.6,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-332,2001,14.4,2,31,11,35.5,2.16,0.77,0.06,0.18,12.7,0,0,0,4.8,4.8,0.16,-2.8,-2.8,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-222,1997,13.7,1,12,2,16.7,0.88,0.15,0.08,0.50,12.5,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-153,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-106,2002,14.3,6,44,17,38.6,3.07,1.19,0.14,0.35,17.6,0,0,0,5.0,5.0,0.11,+1.0,+1.0,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-123,2002,9.9,2,25,7,28.0,2.53,0.71,0.08,0.29,16.2,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-359,2000,7.0,2,18,6,33.3,2.57,0.86,0.11,0.33,13.4,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-279,2000,13.4,4,13,5,38.5,0.97,0.37,0.31,0.80,21.3,1,0,0,1.0,1.0,0.08,+3.0,+3.0,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-042,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-357,2006,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-118,1997,7.2,0,9,4,44.4,1.25,0.55,0.00,0.00,21.7,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-081,1998,16.9,3,34,12,35.3,2.01,0.71,0.09,0.25,20.3,0,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-321,1997,12.7,0,6,1,16.7,0.47,0.08,0.00,0.00,31.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-321,1997,14.0,0,15,3,20.0,1.07,0.21,0.00,0.00,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-218,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-192,2005,3.3,1,6,4,66.7,1.80,1.20,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,1,9,1,11.1,0.49,0.05,0.11,1.00,14.7,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,3,6,4,66.7,0.34,0.22,0.50,0.75,13.5,0,0,0,1.0,1.0,0.17,+2.0,+2.0,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,29-003,1996,4.8,0,9,0,0.0,1.88,0.00,0.00,,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-227,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,29-035,1996,18.6,0,15,5,33.3,0.81,0.27,0.00,0.00,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,32-008,1993,11.6,1,10,3,30.0,0.86,0.26,0.10,0.33,15.9,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,23-036,2002,0.6,0,1,0,0.0,1.55,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,17-070,2008,1.9,0,2,0,0.0,1.03,0.00,0.00,,11.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-202,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
