Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,0.6,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,20.2,22,20,4,13,5,10,19,52.6,9,9,1,8,6,28,13,1,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,1.3,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,2,0,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,20.2,49,23,12,30,7,13,27,48.1,14,14,1,13,32,81,41,2,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,17.5,25,15,13,9,3,12,30,40.0,18,20,9,11,23,48,45,0,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,12.1,6,5,5,1,0,4,15,26.7,11,12,0,12,3,9,12,1,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,7.2,27,20,13,10,4,15,25,60.0,10,7,2,5,2,29,8,0,Matches
89,Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,29-096,1996,19.0,27,15,13,10,4,14,29,48.3,15,18,6,12,9,36,26,1,Matches
90,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,28-107,1997,13.2,11,6,3,3,5,4,11,36.4,7,5,0,5,2,13,9,1,Matches
91,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-084,2004,0.5,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
92,Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,23-159,2001,17.4,39,24,23,13,3,19,38,50.0,19,30,8,22,31,70,53,0,Matches
93,Matteo Dams,be BEL,DF,PSV Eindhoven,21-057,2004,10.2,27,21,13,11,3,14,23,60.9,9,13,5,8,15,42,21,0,Matches
94,Damil Dankerlui,sr SUR,"DF,FW",Almere City,28-254,1996,1.8,4,3,3,1,0,3,5,60.0,2,1,0,1,0,4,8,0,Matches
95,Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,21-201,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
96,Brynjolfur Darri Willumsson,is ISL,"FW,MF",Groningen,24-266,2000,9.9,8,5,2,3,3,2,7,28.6,5,8,0,8,1,9,1,0,Matches
97,Jari De Busser,be BEL,GK,Go Ahead Eag,25-196,1999,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1,Matches
98,Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24-364,2000,27.6,69,40,30,31,8,27,57,47.4,30,50,11,39,38,107,57,1,Matches
99,Mats Deijl,nl NED,DF,Go Ahead Eag,27-294,1997,31.0,48,33,23,18,7,29,44,65.9,15,29,15,14,11,59,106,1,Matches
100,Maxim Dekker,nl NED,DF,AZ Alkmaar,21-014,2004,5.5,2,1,0,2,0,0,0,,0,3,0,3,6,8,21,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Logan Delaurier Chaubet,fr FRA,FW,Almere City,23-013,2002,6.2,6,3,1,3,2,2,10,20.0,8,4,0,4,8,14,5,1,Matches
102,Branco van den Boomen,nl NED,MF,Ajax,29-288,1995,7.0,12,4,1,10,1,4,8,50.0,4,8,3,5,1,13,7,0,Matches
103,Damian van der Haar,nl NED,DF,Zwolle,21-109,2004,19.9,35,21,21,12,2,25,47,53.2,22,20,5,15,16,51,72,1,Matches
104,Mickey van der Hart,nl NED,GK,Heerenveen,30-326,1994,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,3,Matches
105,Mike van der Hoorn,nl NED,DF,Utrecht,32-202,1992,26.4,33,18,22,9,2,18,27,66.7,9,26,10,16,34,67,171,2,Matches
106,Djevencio van der Kust,sr SUR,DF,Sparta R'dam,24-005,2001,10.3,17,13,10,7,0,8,17,47.1,9,20,8,12,10,27,35,0,Matches
107,Richard van der Venne,nl NED,"MF,FW",RKC Waalwijk,32-354,1992,8.2,8,6,2,4,2,5,13,38.5,8,10,2,8,2,10,8,0,Matches
108,Silvester van der Water,nl NED,"FW,MF",RKC Waalwijk,28-217,1996,6.9,6,3,3,1,2,3,17,17.6,14,5,0,5,8,14,17,0,Matches
109,David van der Werff,nl NED,MF,Groningen,20-247,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
110,Anthony Descotte,be BEL,"FW,MF",Utrecht,21-275,2003,4.4,3,1,0,3,0,2,6,33.3,4,3,0,3,1,4,0,0,Matches
111,Sergiño Dest,us USA,DF,PSV Eindhoven,24-183,2000,2.0,2,2,0,2,0,1,5,20.0,4,1,0,1,2,4,1,0,Matches
112,Matisse Didden,be BEL,DF,Utrecht,23-209,2001,4.6,2,1,1,1,0,1,3,33.3,2,5,4,1,3,5,34,1,Matches
113,Thomas Didillon,fr FRA,GK,Willem II,29-158,1995,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,3,Matches
114,Mitchell Dijks,nl NED,DF,Fortuna Sittard,32-085,1993,17.2,35,24,21,12,2,22,42,52.4,20,12,1,11,16,51,44,1,Matches
115,Elijah Dijkstra,nl NED,DF,AZ Alkmaar,18-273,2006,1.0,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,3,0,Matches
116,Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,22-092,2003,0.8,2,2,1,1,0,2,3,66.7,1,2,1,1,0,2,5,0,Matches
117,Nick Doodeman,nl NED,"FW,MF",Willem II,28-195,1996,14.5,13,10,6,3,4,7,9,77.8,2,10,4,6,5,18,19,0,Matches
118,Couhaib Driouech,ma MAR,FW,PSV Eindhoven,23-018,2002,3.0,3,3,1,1,1,1,6,16.7,5,0,0,0,0,3,2,0,Matches
119,Joel Drommel,nl NED,GK,PSV Eindhoven,28-170,1996,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
120,Laros Duarte,cv CPV,MF,Groningen,28-066,1997,0.2,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
121,Oliver Edvardsen,no NOR,FW,Ajax,26-047,1999,3.2,4,3,0,4,0,0,1,0.0,1,4,2,2,4,8,4,0,Matches
122,Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,26-047,1999,9.9,11,6,6,4,1,6,13,46.2,7,9,3,6,5,16,16,0,Matches
123,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,29-111,1996,27.4,7,5,1,4,2,2,11,18.2,9,7,1,6,4,11,13,0,Matches
124,Espen van Ee,nl NED,MF,Heerenveen,21-304,2003,23.5,71,42,28,32,11,34,58,58.6,24,38,12,26,28,99,28,4,Matches
125,Mike Eerdhuijzen,nl NED,DF,Sparta R'dam,24-296,2000,28.2,31,18,20,10,1,15,34,44.1,19,38,21,17,42,73,180,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Roshon van Eijma,cw CUW,DF,RKC Waalwijk,26-330,1998,17.9,23,16,18,5,0,18,25,72.0,7,32,17,15,32,55,141,2,Matches
127,Carel Eiting,nl NED,MF,Sparta R'dam,27-083,1998,9.8,21,13,6,9,6,12,20,60.0,8,15,5,10,10,31,26,0,Matches
128,Carel Eiting,nl NED,MF,Twente,27-083,1998,6.5,23,17,9,12,2,7,12,58.3,5,14,0,14,6,29,7,0,Matches
