Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
69,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,29-169,1995,26,23,1870,20.8,2,1,3,2,0,0,1,0,2.2,2.2,2.2,4.4,38,53,141,0.10,0.05,0.14,0.10,0.14,0.11,0.10,0.21,0.11,0.21,Matches
70,Toni Borevkovic,hr CRO,DF,Vitória,27-321,1997,25,25,2240,24.9,0,0,0,0,0,0,5,0,1.4,1.4,0.3,1.7,8,73,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
71,Daniel Borges,br BRA,"MF,FW",Santa Clara,22-029,2003,15,1,179,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.17,0.09,0.17,Matches
72,Gonçalo Borges,pt POR,"FW,MF",Porto,24-037,2001,24,6,699,7.8,2,2,4,2,0,0,5,1,1.3,1.3,1.7,3.0,44,16,118,0.26,0.26,0.52,0.26,0.52,0.16,0.21,0.36,0.16,0.36,Matches
73,Róbert Boženík,sk SVK,FW,Boavista,25-168,1999,30,27,2483,27.6,4,0,4,3,1,1,6,0,8.4,7.7,0.3,8.0,16,36,133,0.14,0.00,0.14,0.11,0.11,0.31,0.01,0.32,0.28,0.29,Matches
74,Daniel Bragança,pt POR,MF,Sporting CP,25-343,1999,18,14,1077,12.0,3,4,7,3,0,0,3,0,2.7,2.7,1.7,4.4,16,87,46,0.25,0.33,0.58,0.25,0.58,0.22,0.15,0.37,0.22,0.37,Matches
75,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,18,18,1575,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19-290,2005,2,1,89,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
77,Rafael Brito,pt POR,MF,Casa Pia,23-106,2002,21,12,1002,11.1,0,1,1,0,0,0,5,0,0.3,0.3,0.4,0.7,3,32,15,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.06,0.03,0.06,Matches
78,Tiago Brito,pt POR,MF,Estoril,21-019,2004,2,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,1,1,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.09,0.01,0.09,Matches
79,Bruma,pt POR,"FW,MF",Braga,30-193,1994,17,13,1208,13.4,7,5,12,4,3,4,1,0,8.6,5.4,5.9,11.4,43,64,115,0.52,0.37,0.89,0.30,0.67,0.64,0.44,1.08,0.40,0.85,Matches
80,Bruma,pt POR,"FW,MF",Benfica,30-193,1994,8,5,447,5.0,1,2,3,1,0,0,0,0,2.3,2.3,1.0,3.3,21,33,60,0.20,0.40,0.60,0.20,0.60,0.46,0.20,0.67,0.46,0.67,Matches
81,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,31-220,1993,19,18,1644,18.3,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.8,9,42,0,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.05,0.02,0.05,Matches
82,Leonel Bucca,ar ARG,"MF,FW",Estrela,26-046,1999,27,13,1149,12.8,2,2,4,2,0,0,8,0,2.0,2.0,1.7,3.7,8,39,45,0.16,0.16,0.31,0.16,0.31,0.15,0.14,0.29,0.15,0.29,Matches
83,Leonardo Buta,pt POR,DF,Moreirense,22-334,2002,6,4,418,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,11,20,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Matches
84,Adrián Butzke,es ESP,FW,Nacional,26-036,1999,10,5,484,5.4,0,1,1,0,0,0,2,0,1.7,1.7,0.4,2.1,4,13,25,0.00,0.19,0.19,0.00,0.19,0.31,0.08,0.39,0.31,0.39,Matches
85,Arthur Cabral,br BRA,FW,Benfica,27-010,1998,19,2,371,4.1,2,0,2,2,0,1,2,0,2.1,1.3,1.4,2.7,4,0,29,0.49,0.00,0.49,0.49,0.49,0.52,0.34,0.86,0.32,0.67,Matches
86,Daniel Cabral,br BRA,MF,Estrela,22-356,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Jovane Cabral,cv CPV,"FW,MF",Estrela,26-325,1998,23,10,922,10.2,2,1,3,2,0,1,4,0,2.3,1.5,1.2,2.7,15,37,49,0.20,0.10,0.29,0.20,0.29,0.22,0.12,0.34,0.14,0.26,Matches
88,Lucas Calegari,br BRA,DF,Famalicão,23-067,2002,18,17,1489,16.5,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,16,49,53,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05,Matches
89,Diogo Calila,pt POR,"MF,DF",Santa Clara,26-207,1998,30,20,1721,19.1,1,2,3,1,0,0,8,0,0.8,0.8,1.1,1.9,35,39,100,0.05,0.10,0.16,0.05,0.16,0.04,0.06,0.10,0.04,0.10,Matches
90,Ibrahima Camará,gn GUI,MF,Boavista,26-100,1999,25,16,1331,14.8,0,0,0,0,0,0,6,1,0.1,0.1,0.7,0.8,4,48,7,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
91,André Candeias,pt POR,"FW,MF",Farense,22-105,2003,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,9,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
