Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
216,Lucas Diarte,ar ARG,DF,San Martín de San Juan,31-335,1993,6.6,355,17,92,143,122,5,355,7,1,14.3,6,85.7,130,532,275,8,3,0,12,4,152,17,Matches
217,Alexander Díaz,ar ARG,"FW,MF",Deportivo Riestra,25-103,2000,4.3,159,3,19,65,81,10,159,17,8,47.1,9,52.9,111,723,293,11,8,1,27,9,115,23,Matches
218,Damián Díaz,ec ECU,"MF,FW",Banfield,39-004,1986,2.1,103,0,2,72,31,3,103,4,2,50.0,2,50.0,58,295,182,3,4,0,3,6,74,15,Matches
219,Diego Díaz,ar ARG,FW,Unión,23-115,2002,1.4,54,1,3,20,31,9,54,8,4,50.0,4,50.0,28,217,106,3,3,2,11,3,37,9,Matches
220,Franco Díaz,ar ARG,MF,Instituto,24-250,2000,2.9,151,2,25,74,54,10,151,6,1,16.7,5,83.3,81,443,155,4,3,2,6,5,100,14,Matches
221,Gabriel Díaz,ar ARG,"DF,FW",Sarmiento,25-016,2000,8.5,485,15,139,237,117,8,485,14,11,78.6,3,21.4,236,1205,574,12,9,1,12,10,240,34,Matches
222,Leandro Díaz,ar ARG,FW,Atlé Tucumán,32-333,1992,9.2,304,8,24,147,139,43,303,13,5,38.5,8,61.5,164,561,214,6,6,3,26,15,221,44,Matches
223,Paulo Díaz,cl CHI,DF,River Plate,30-253,1994,8.1,628,64,305,316,11,8,628,1,1,100.0,0,0.0,344,1580,917,2,2,0,5,2,377,1,Matches
224,Jerónimo Domina,ar ARG,"FW,MF",Unión,19-200,2005,7.3,222,5,12,74,139,40,222,10,4,40.0,6,60.0,130,825,366,20,11,7,13,13,166,58,Matches
225,Alexis Dominguez,ar ARG,"FW,MF",Aldosivi,28-187,1996,2.5,79,0,2,43,34,9,79,1,1,100.0,0,0.0,40,102,11,0,0,0,15,4,55,12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
226,Nery Domínguez,ar ARG,"MF,DF",San Lorenzo,35-026,1990,2.5,154,17,56,81,17,4,154,0,0,,0,,55,195,83,0,2,0,2,1,64,2,Matches
227,Sebastián Driussi,ar ARG,"FW,MF",River Plate,29-085,1996,7.7,330,5,21,150,160,28,330,18,9,50.0,8,44.4,188,922,392,11,14,2,17,21,245,51,Matches
228,Gaspar Duarte,ar ARG,"FW,MF",Rosario Central,22-119,2003,8.2,284,18,56,91,143,24,284,37,9,24.3,27,73.0,160,1065,521,18,10,7,27,16,168,70,Matches
229,Tomás Durso,ar ARG,GK,Atlé Tucumán,26-068,1999,11.0,361,290,360,1,0,0,361,0,0,,0,,176,992,636,0,0,0,0,0,130,0,Matches
230,Edgar Elizalde,uy URU,DF,Platense,25-067,2000,0.9,45,3,15,18,13,0,45,0,0,,0,,8,22,11,0,0,0,1,0,9,1,Matches
231,Gastón Emanuel Moreyra,ar ARG,MF,San Martín de San Juan,25-141,1999,0.8,57,0,8,28,22,3,57,5,3,60.0,2,40.0,28,216,71,1,4,0,3,0,34,0,Matches
232,José Enrique Angulo,ec ECU,FW,Unión,30-091,1995,0.6,16,3,4,5,7,2,16,2,1,50.0,1,50.0,11,34,5,0,1,0,3,3,12,5,Matches
233,Lautaro Escalante,ar ARG,MF,San Martín de San Juan,25-307,1999,1.6,98,4,23,52,23,2,98,6,3,50.0,3,50.0,52,308,172,7,4,0,5,4,60,5,Matches
234,Valentín Escalante,ar ARG,FW,San Lorenzo,20-307,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
235,Gonzalo Escudero,ar ARG,DF,Racing Club,18-034,2007,1.0,65,6,28,36,2,1,65,2,2,100.0,0,0.0,21,86,59,1,1,0,3,0,31,1,Matches
236,Juan Espínola,py PAR,GK,Belgrano,30-184,1994,11.0,386,276,378,8,0,0,386,0,0,,0,,211,1258,786,0,0,0,1,0,163,0,Matches
237,Marcelo Esponda,ar ARG,MF,Aldosivi,22-111,2003,9.4,569,20,124,385,64,2,569,7,3,42.9,2,28.6,296,1110,563,8,7,1,16,2,333,6,Matches
238,Santiago Esquivel,ar ARG,"MF,FW",Banfield,21-123,2004,2.2,138,2,20,99,20,4,138,2,0,0.0,2,100.0,74,391,169,2,1,0,3,5,81,5,Matches
239,Marcelo Estigarribia,ar ARG,FW,Atlé Tucumán,29-360,1995,1.0,51,2,5,19,27,4,51,1,0,0.0,1,100.0,23,82,20,0,2,0,5,2,35,8,Matches
240,Marcelo Estigarribia,ar ARG,FW,Unión,29-360,1995,9.6,353,14,25,135,198,57,353,9,5,55.6,4,44.4,155,604,248,6,3,3,28,5,250,73,Matches
241,Yair Ezequiel Arismendi,ar ARG,"DF,MF",Sarmiento,27-030,1998,1.4,75,6,21,36,18,0,75,3,1,33.3,2,66.7,29,163,68,2,2,0,1,0,39,7,Matches
242,Frank Fabra,co COL,DF,Boca Juniors,34-072,1991,1.2,76,1,22,36,20,5,76,2,1,50.0,1,50.0,41,226,149,6,3,1,2,2,44,6,Matches
243,Kevin Facundo Gutiérrez,ar ARG,MF,Defensa y Just,27-336,1997,13.6,932,45,247,580,114,2,932,17,9,52.9,8,47.1,458,2008,921,11,10,0,17,6,599,9,Matches
244,Franco Fagundez,uy URU,FW,Deportivo Riestra,26-142,1998,0.4,20,0,1,6,13,3,20,1,0,0.0,1,100.0,8,41,12,0,0,0,4,1,13,4,Matches
245,Lucio Falasco,ar ARG,"MF,FW",Aldosivi,21-075,2004,0.0,6,0,1,2,3,1,6,0,0,,0,,2,22,9,1,0,1,0,0,4,0,Matches
246,Facundo Farías,ar ARG,"MF,FW",Estudiantes–LP,22-250,2002,1.9,84,1,8,42,36,4,84,7,4,57.1,3,42.9,49,181,101,2,3,1,6,3,68,14,Matches
247,Valentín Fascendini,ar ARG,DF,Unión,22-053,2003,3.8,217,15,89,113,16,4,217,1,1,100.0,0,0.0,114,654,444,2,0,0,3,0,134,2,Matches
248,Federico Fattori,ar ARG,MF,Arg Juniors,32-287,1992,13.2,1073,39,338,646,95,3,1073,4,3,75.0,1,25.0,579,2266,1063,6,9,0,16,11,726,10,Matches
249,Adrián Fernández,ar ARG,"FW,MF",Racing Club,23-350,2001,2.6,167,1,14,93,64,5,167,17,9,52.9,8,47.1,93,500,255,9,5,1,9,8,122,18,Matches
