Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Unnamed: 11_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 27_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
100,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23-207,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32-244,1992,34,34,2970,33.0,45,1.36,132,86,66.7,16,9,9,6,17.6,2,1,1,0,50.0,Matches
102,Josep Martinez,es ESP,GK,Inter,it Serie A,26-342,1998,4,4,360,4.0,3,0.75,11,8,72.7,3,1,0,2,50.0,0,0,0,0,,Matches
103,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35-152,1989,5,5,450,5.0,13,2.60,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches
104,Alex Meret,it ITA,GK,Napoli,it Serie A,28-043,1997,31,31,2735,30.4,23,0.76,77,53,71.4,20,7,4,14,45.2,4,1,2,1,66.7,Matches
105,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,34-021,1991,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,Matches
106,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,28-073,1997,34,34,3060,34.0,37,1.09,157,118,77.1,10,14,10,10,29.4,5,1,4,0,80.0,Matches
107,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-073,1996,34,34,3060,34.0,62,1.82,153,91,60.8,9,5,20,8,23.5,4,2,1,1,33.3,Matches
108,Florian Müller,de GER,GK,Freiburg,de Bundesliga,27-172,1997,8,7,663,7.4,14,1.90,28,15,57.1,4,0,3,1,14.3,2,2,0,0,0.0,Matches
109,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,34-050,1991,32,32,2849,31.7,60,1.90,163,103,66.3,7,5,20,7,21.9,5,5,0,0,0.0,Matches
110,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31-296,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,,Matches
