Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 34_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
75,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,32-044,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,41,26.8,34.9,125,6,4.8,5,0.64,9.4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
76,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-110,2001,13.2,16,4,1,0,0,15.7,0.25,-0.3,-0.03,50,148,33.8,320,73,32.2,31.4,76,59.2,46.9,199,13,6.5,20,1.52,13.7,Matches
77,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-018,2002,6.0,9,1,0,1,0,9.3,0.30,+0.3,+0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2,Matches
78,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26-162,1998,10.0,12,0,0,1,0,11.6,0.30,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.90,14.0,Matches
79,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,22-052,2003,4.0,7,0,0,0,2,4.5,0.28,-0.5,-0.12,12,33,36.4,126,16,23.8,29.1,19,15.8,22.5,75,3,4.0,4,1.00,10.1,Matches
80,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-149,1997,30.0,45,4,0,5,1,42.5,0.34,-1.5,-0.05,104,316,32.9,1071,117,23.3,28.3,112,58.9,45.3,385,19,4.9,44,1.47,15.5,Matches
81,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28-200,1996,5.0,8,2,0,1,0,11.1,0.38,+3.1,+0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.40,9.4,Matches
82,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-032,1998,17.0,15,1,0,1,0,13.0,0.23,-2.0,-0.12,43,141,30.5,399,64,24.8,29.7,96,43.8,38.6,195,13,6.7,19,1.12,15.0,Matches
83,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24-352,2000,4.0,3,0,0,0,0,3.2,0.25,+0.2,+0.05,12,31,38.7,110,12,24.5,29.3,13,30.8,30.4,43,2,4.7,6,1.50,16.9,Matches
84,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-206,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.40,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.20,13.3,Matches
85,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26-101,1999,12.0,19,3,0,2,2,16.8,0.30,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.50,10.6,Matches
86,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,28-070,1997,31.0,74,13,0,4,2,68.5,0.29,-3.5,-0.11,128,457,28.0,924,135,39.0,34.8,186,52.2,40.0,475,23,4.8,29,0.94,13.7,Matches
87,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-076,1993,27.0,26,3,0,4,2,30.8,0.28,+6.8,+0.25,133,358,37.2,662,107,38.8,33.7,200,50.5,41.5,376,21,5.6,14,0.52,11.1,Matches
88,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,34-008,1991,27.0,61,5,0,4,3,52.5,0.31,-5.5,-0.20,172,435,39.5,770,108,43.4,36.4,176,57.4,43.2,386,20,5.2,25,0.93,14.3,Matches
89,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-061,1992,35.0,47,2,0,5,2,42.5,0.29,-2.5,-0.07,128,343,37.3,1142,153,23.1,29.0,158,50.0,41.2,467,20,4.3,28,0.80,13.3,Matches
90,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-182,1992,29.0,42,5,0,6,2,48.7,0.31,+8.7,+0.30,198,608,32.6,860,151,54.2,42.4,176,80.7,57.9,468,25,5.3,38,1.31,15.0,Matches
91,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34-215,1990,14.4,24,4,0,1,1,24.5,0.33,+1.5,+0.11,79,236,33.5,373,45,45.0,37.5,79,86.1,52.2,269,13,4.8,8,0.56,11.3,Matches
92,Pau López,es ESP,GK,Girona,es La Liga,30-142,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2.00,9.8,Matches
93,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,30-078,1995,3.0,7,0,0,1,0,7.7,0.39,+0.7,+0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0,Matches
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26-082,1999,5.0,7,0,0,0,0,5.4,0.30,-1.6,-0.33,17,35,48.6,133,25,18.8,26.8,32,31.3,34.0,51,2,3.9,9,1.80,14.1,Matches
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,29-305,1995,32.6,36,1,0,2,3,31.9,0.26,-1.1,-0.03,105,275,38.2,1187,151,18.0,27.9,175,34.9,38.4,391,23,5.9,66,2.02,19.2,Matches
96,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25-169,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.20,14.0,Matches
