Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
139,Ángel Di María,ar ARG,FW,Benfica,37-080,1988,17.4,16,7,4,6,6,7,20,35.0,13,13,0,13,8,24,0,0,Matches
140,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33-349,1991,7.0,3,3,0,3,0,1,4,25.0,3,1,0,1,4,7,3,0,Matches
141,Matheus Dias,br BRA,"MF,DF",Nacional,28-087,1997,18.1,48,30,25,20,3,25,51,49.0,26,29,12,17,35,83,62,3,Matches
142,Tiago Dias,pt POR,"DF,FW",Casa Pia,27-001,1998,0.6,1,0,0,1,0,0,2,0.0,2,3,0,3,0,1,0,0,Matches
143,Ousmane Diomande,ci CIV,DF,Sporting CP,21-152,2003,26.7,33,20,20,13,0,20,26,76.9,6,14,7,7,30,63,75,2,Matches
144,Tiago Djaló,pt POR,DF,Porto,25-026,2000,6.6,12,6,10,2,0,4,5,80.0,1,3,2,1,3,15,19,3,Matches
145,Maxime Dominguez,ch SUI,MF,Gil Vicente FC,29-093,1996,2.8,8,3,4,4,0,3,4,75.0,1,3,0,3,3,11,1,0,Matches
146,Issiar Dramé,ml MLI,DF,Estrela,26-078,1999,14.7,18,10,14,4,0,8,11,72.7,3,21,16,5,21,39,110,3,Matches
147,Dudu,br BRA,"FW,MF",Nacional,25-268,1999,14.9,27,18,9,11,7,11,22,50.0,11,26,0,26,6,33,8,1,Matches
148,Carlos Eduardo,br BRA,"FW,MF",Gil Vicente FC,22-268,2002,2.7,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
149,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,26-153,1998,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
150,Marvin Elimbi,fr FRA,DF,Gil Vicente FC,22-074,2003,3.5,6,3,2,3,1,4,4,100.0,0,5,4,1,3,9,22,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Simon Elisor,fr FRA,FW,Famalicão,25-287,1999,5.6,0,0,0,0,0,0,3,0.0,3,4,0,4,2,2,3,0,Matches
