Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
91,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-084,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,23-159,2001,17.4,2,14,5,35.7,0.81,0.29,0.14,0.40,16.6,1,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
93,Matteo Dams,be BEL,DF,PSV Eindhoven,21-057,2004,10.2,0,4,1,25.0,0.39,0.10,0.00,0.00,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
94,Damil Dankerlui,sr SUR,"DF,FW",Almere City,28-254,1996,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,21-201,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Brynjolfur Darri Willumsson,is ISL,"FW,MF",Groningen,24-266,2000,9.9,4,21,6,28.6,2.13,0.61,0.19,0.67,12.6,0,0,0,1.9,1.9,0.09,+2.1,+2.1,Matches
97,Jari De Busser,be BEL,GK,Go Ahead Eag,25-196,1999,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24-364,2000,27.6,5,22,7,31.8,0.80,0.25,0.09,0.29,25.4,1,3,3,3.9,1.5,0.07,+1.1,+0.5,Matches
99,Mats Deijl,nl NED,DF,Go Ahead Eag,27-294,1997,31.0,4,31,9,29.0,1.00,0.29,0.06,0.22,17.3,2,2,2,4.5,2.9,0.09,-0.5,-0.9,Matches
100,Maxim Dekker,nl NED,DF,AZ Alkmaar,21-014,2004,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Logan Delaurier Chaubet,fr FRA,FW,Almere City,23-013,2002,6.2,1,10,3,30.0,1.62,0.49,0.10,0.33,17.4,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
102,Branco van den Boomen,nl NED,MF,Ajax,29-288,1995,7.0,0,11,5,45.5,1.57,0.71,0.00,0.00,29.2,5,0,1,1.4,0.6,0.05,-1.4,-0.6,Matches
103,Damian van der Haar,nl NED,DF,Zwolle,21-109,2004,19.9,2,8,3,37.5,0.40,0.15,0.25,0.67,19.4,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches
104,Mickey van der Hart,nl NED,GK,Heerenveen,30-326,1994,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Mike van der Hoorn,nl NED,DF,Utrecht,32-202,1992,26.4,3,18,7,38.9,0.68,0.27,0.17,0.43,9.7,0,0,0,2.4,2.4,0.14,+0.6,+0.6,Matches
106,Djevencio van der Kust,sr SUR,DF,Sparta R'dam,24-005,2001,10.3,0,2,1,50.0,0.20,0.10,0.00,0.00,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
107,Richard van der Venne,nl NED,"MF,FW",RKC Waalwijk,32-354,1992,8.2,4,22,9,40.9,2.70,1.10,0.18,0.44,19.9,0,0,0,2.1,2.1,0.10,+1.9,+1.9,Matches
108,Silvester van der Water,nl NED,"FW,MF",RKC Waalwijk,28-217,1996,6.9,3,15,5,33.3,2.18,0.73,0.20,0.60,18.8,0,0,0,1.5,1.5,0.10,+1.5,+1.5,Matches
109,David van der Werff,nl NED,MF,Groningen,20-247,2004,0.2,0,2,1,50.0,9.00,4.50,0.00,0.00,15.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
110,Anthony Descotte,be BEL,"FW,MF",Utrecht,21-275,2003,4.4,2,10,3,30.0,2.26,0.68,0.10,0.33,17.0,0,1,1,1.8,1.0,0.10,+0.2,0.0,Matches
111,Sergiño Dest,us USA,DF,PSV Eindhoven,24-183,2000,2.0,0,2,0,0.0,1.02,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
