Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
82,Fernando Beltrán,mx MEX,"MF,FW",Guadalajara,26-362,1998,30,22,1836,20.4,1,1,2,1,0,0,3,0,1.1,1.1,2.0,3.1,53,152,83,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.15,0.05,0.15,Matches
83,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,28-010,1997,19,14,1278,14.2,4,3,7,3,1,1,7,0,2.3,1.6,3.9,5.5,55,68,85,0.28,0.21,0.49,0.21,0.42,0.17,0.28,0.44,0.11,0.39,Matches
84,Darío Benedetto,ar ARG,FW,Querétaro,34-353,1990,8,4,427,4.7,0,0,0,0,0,0,0,0,1.3,1.3,1.2,2.4,6,13,30,0.00,0.00,0.00,0.00,0.00,0.27,0.25,0.52,0.27,0.52,Matches
85,Pablo Bennevendo Peña,mx MEX,DF,UNAM,25-122,2000,30,28,2432,27.0,1,1,2,1,0,0,3,0,1.0,1.0,1.3,2.3,22,78,79,0.04,0.04,0.07,0.04,0.07,0.04,0.05,0.08,0.04,0.08,Matches
86,Jorge Berlanga,mx MEX,DF,Pachuca,21-291,2003,16,11,1012,11.2,0,1,1,0,0,0,5,1,0.0,0.0,0.6,0.6,6,34,10,0.00,0.09,0.09,0.00,0.09,0.00,0.05,0.05,0.00,0.05,Matches
87,Germán Berterame,mx MEX,FW,Monterrey,26-173,1998,28,28,2336,26.0,13,0,13,13,0,0,4,2,14.6,14.5,2.4,16.9,34,45,138,0.50,0.00,0.50,0.50,0.50,0.56,0.09,0.66,0.56,0.65,Matches
88,Unai Bilbao,es ESP,DF,Tijuana,31-090,1994,30,27,2355,26.2,1,1,2,1,0,0,4,1,0.7,0.7,0.6,1.3,11,82,4,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.05,0.03,0.05,Matches
89,Alfonso Blanco Antúnez,mx MEX,GK,León,37-278,1987,26,26,2340,26.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Domingo Blanco,ar ARG,"FW,MF",Tijuana,30-013,1995,26,16,1501,16.7,3,1,4,3,0,0,3,0,3.1,3.1,1.6,4.7,58,48,159,0.18,0.06,0.24,0.18,0.24,0.19,0.10,0.28,0.19,0.28,Matches
91,Rodrigo Bogarín,py PAR,"MF,FW",Querétaro,27-346,1997,14,8,711,7.9,1,0,1,1,0,0,3,1,0.3,0.3,0.6,0.9,6,17,7,0.13,0.00,0.13,0.13,0.13,0.04,0.08,0.12,0.04,0.12,Matches
