Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
614,Sam Surridge,eng ENG,FW,Nashville SC,26-281,1998,10.7,158,237,66.7,2408,558,88,122,72.1,51,71,71.8,12,20,60.0,1,2.1,1.3,-1.1,15,12,11,2,30,Matches
615,Oleksandr Svatok,ua UKR,DF,Austin,30-220,1994,7.7,375,413,90.8,7025,2142,119,127,93.7,235,243,96.7,19,39,48.7,0,0.6,0.3,-0.6,3,16,1,0,19,Matches
616,Erik Sviatchenko,dk DEN,DF,Houston Dynamo,33-213,1991,5.5,234,287,81.5,4200,1538,105,111,94.6,110,121,90.9,17,46,37.0,0,0.0,0.3,0.0,0,29,3,0,20,Matches
617,Hennadii Synchuk,ua UKR,FW,CF Montréal,18-299,2006,1.3,39,53,73.6,616,147,21,23,91.3,17,21,81.0,1,5,20.0,0,0.2,0.3,-0.2,2,3,5,1,7,Matches
618,Nkosi Tafari,us USA,DF,LAFC,28-043,1997,4.9,277,317,87.4,5566,1762,81,86,94.2,167,174,96.0,26,48,54.2,0,0.6,0.3,-0.6,2,14,0,0,15,Matches
619,Zakaria Taifi,us USA,DF,Orlando City,19-216,2005,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
620,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,29-050,1996,11.0,293,368,79.6,7577,4833,47,48,97.9,161,162,99.4,85,158,53.8,0,0.0,0.0,0.0,0,7,0,0,1,Matches
621,Strahinja Tanasijević,rs SRB,DF,NYCFC,27-327,1997,2.2,124,137,90.5,2086,729,55,55,100.0,61,63,96.8,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,14,Matches
622,Andrew Tarbell,us USA,GK,Houston Dynamo,31-210,1993,3.4,70,97,72.2,1765,1335,18,18,100.0,30,32,93.8,22,47,46.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
623,Iuri Tavares,cv CPV,"FW,MF",Charlotte,24-058,2001,0.3,7,11,63.6,93,5,5,7,71.4,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
