Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,29.0,2126,73,573,1008,561,27,2126,36,21,58.3,13,36.1,1065,4777,2491,48,39,6,41,11,1229,161,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,7.4,530,34,146,358,32,2,530,2,1,50.0,1,50.0,298,1032,377,2,0,0,7,8,362,1,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,1.2,56,0,15,38,3,0,56,0,0,,0,,32,169,63,2,1,0,0,2,32,0,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,1.1,53,1,12,13,29,7,53,5,2,40.0,3,60.0,39,257,102,2,5,0,5,0,41,8,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,13.4,790,113,473,310,14,10,790,1,1,100.0,0,0.0,460,2323,1230,4,2,0,6,1,482,0,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,2.2,74,4,22,40,12,2,74,0,0,,0,,26,133,70,2,0,0,3,1,37,3,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,11.5,473,22,150,271,57,10,473,6,2,33.3,4,66.7,169,685,300,7,8,1,4,5,241,8,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,3.3,168,3,28,66,77,8,168,8,2,25.0,6,75.0,95,598,224,5,4,2,10,13,101,19,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,10.6,579,5,63,216,312,39,579,38,10,26.3,28,73.7,368,2413,1109,46,35,10,31,28,412,120,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,2.3,100,2,17,64,20,1,100,6,3,50.0,3,50.0,48,243,68,1,2,0,4,4,64,3,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2.0,118,6,30,77,13,0,118,1,1,100.0,0,0.0,83,387,189,1,2,0,3,0,87,2,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,1.6,37,0,1,15,23,7,37,7,4,57.1,3,42.9,29,131,37,0,1,0,3,4,30,14,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,25.5,1553,55,349,761,457,39,1553,48,17,35.4,28,58.3,862,4113,2262,46,34,6,51,19,981,158,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,9.2,528,14,142,335,57,3,528,7,3,42.9,4,57.1,334,1539,607,5,6,0,15,3,372,5,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,2.5,109,2,7,50,54,12,109,6,1,16.7,5,83.3,78,300,121,6,4,1,13,6,85,22,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,5.8,157,2,6,74,79,16,157,10,4,40.0,6,60.0,97,487,185,7,7,4,31,17,120,25,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,2.4,156,24,101,54,3,2,156,1,0,0.0,1,100.0,80,498,259,0,0,0,0,0,92,0,Matches
67,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,10.3,341,15,23,127,194,52,341,8,5,62.5,3,37.5,165,613,244,12,4,7,36,26,258,66,Matches
68,Claudio Baeza,cl CHI,"MF,DF",Toluca,31-133,1993,11.3,725,32,219,451,59,3,725,8,3,37.5,5,62.5,449,2100,967,7,11,0,5,3,517,8,Matches
