Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
118,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-360,2000,25.4,24,18,10,5,9,11,33,33.3,22,38,2,36,9,33,22,0,Matches
119,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-256,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,Matches
120,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-338,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
121,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-338,1996,25.7,25,17,18,6,1,13,20,65.0,7,33,26,7,30,55,162,1,Matches
122,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-179,2002,26.4,79,50,48,24,7,42,94,44.7,52,41,8,33,28,107,62,3,Matches
123,André,br BRA,MF,Wolves,eng Premier League,23-292,2001,25.0,80,48,36,37,7,32,57,56.1,25,41,8,33,32,112,27,1,Matches
124,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-274,1990,27.9,94,50,27,58,9,51,90,56.7,39,42,6,36,47,141,54,0,Matches
125,Marcos André,br BRA,FW,Valladolid,es La Liga,28-196,1996,13.1,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,30-224,1994,16.5,23,11,8,14,1,7,14,50.0,7,14,7,7,26,49,21,0,Matches
127,Angeliño,es ESP,DF,Roma,it Serie A,28-120,1997,31.3,44,23,18,24,2,17,34,50.0,17,32,9,23,26,70,89,0,Matches
128,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,20-067,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
129,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-162,2001,11.6,27,12,7,14,6,9,18,50.0,9,16,3,13,11,38,19,0,Matches
130,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-288,1996,19.7,34,21,18,10,6,17,23,73.9,6,29,14,15,28,62,94,1,Matches
131,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-111,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
132,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,17-120,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1,Matches
133,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,35-037,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Matches
134,Antoniu,es ESP,"MF,FW",Espanyol,es La Liga,22-241,2002,9.1,18,8,7,7,4,8,17,47.1,9,12,2,10,7,25,9,1,Matches
135,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,25-069,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
136,Antony,br BRA,FW,Betis,es La Liga,25-069,2000,11.2,16,7,3,8,5,3,15,20.0,12,9,0,9,7,23,8,1,Matches
137,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,30-109,1995,16.6,34,23,20,9,5,13,25,52.0,12,22,7,15,15,49,19,1,Matches
138,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-329,1992,21.6,65,38,37,21,7,37,65,56.9,28,32,7,25,23,88,80,2,Matches
139,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,27-093,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0,Matches
140,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-216,1995,26.9,45,26,9,31,5,21,44,47.7,23,33,6,27,13,58,41,0,Matches
141,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-285,2002,24.5,91,65,52,29,10,60,89,67.4,29,34,8,26,28,119,92,0,Matches
142,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-264,2001,4.7,8,3,4,4,0,5,12,41.7,7,3,0,3,6,14,16,0,Matches
143,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-058,1999,7.1,12,9,6,5,1,4,4,100.0,0,6,4,2,8,20,19,0,Matches
144,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-287,2001,15.3,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,9,0,Matches
145,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-310,1996,19.7,46,31,27,14,5,29,48,60.4,19,22,4,18,24,70,69,2,Matches
