Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 30_level_0
233,Adam Aznou,ma MAR,DF,Valladolid,es La Liga,18-336,2006,10,671,67,21.9,7.5,8,76,5,2,31,2,0.10,6,19,-13,-1.74,-0.05,7.0,11.3,-4.3,-0.58,+0.46,Matches
234,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18-336,2006,2,17,9,0.6,0.2,0,,0,2,9,11,3.00,0,2,-2,-10.59,-12.57,0.8,0.8,0.0,+0.08,-1.63,Matches
235,Ivan Azón,es ESP,FW,Como,it Serie A,22-131,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
236,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,35-249,1989,12,740,62,24.2,8.2,9,73,4,3,27,14,1.85,14,7,+7,+0.85,0.00,13.3,7.8,+5.5,+0.67,-0.01,Matches
237,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30-293,1994,6,426,71,13.5,4.7,5,79,3,1,31,15,0.33,1,5,-4,-0.85,-0.48,5.8,5.9,-0.1,-0.02,+0.31,Matches
238,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23-340,2001,1,8,8,0.3,0.1,0,,0,1,8,13,3.00,0,0,0,0.00,-0.44,0.0,0.2,-0.1,-1.55,-1.95,Matches
239,Papa Ba,es ESP,MF,Girona,es La Liga,20-234,2004,1,48,48,1.6,0.5,0,,0,1,48,2,0.00,0,0,0,0.00,+0.37,0.2,0.5,-0.3,-0.60,-0.46,Matches
240,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24-337,2000,29,1181,41,41.0,13.1,11,75,2,18,20,1,1.17,19,22,-3,-0.23,-0.39,22.7,16.5,+6.2,+0.47,+0.26,Matches
241,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19-319,2005,3,31,10,1.0,0.3,0,,0,3,10,13,0.33,1,1,0,0.00,+0.80,0.9,1.2,-0.3,-0.98,-0.50,Matches
242,Iker Bachiller,es ESP,DF,Leganés,es La Liga,22-232,2002,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
243,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-018,2004,0,,,,,0,,0,0,,31,,,,,,,,,,,,Matches
244,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,22-143,2002,5,91,18,3.2,1.0,0,,0,5,18,1,0.00,0,3,-3,-2.97,-2.00,0.9,4.5,-3.6,-3.56,-2.99,Matches
245,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,25-023,2000,28,2451,88,82.5,27.2,27,90,27,1,21,1,1.07,28,37,-9,-0.33,-0.33,28.1,36.1,-8.0,-0.29,-0.31,Matches
246,Milan Badelj,hr CRO,MF,Genoa,it Serie A,36-068,1989,22,1406,64,45.9,15.6,20,68,4,2,19,8,1.14,11,15,-4,-0.26,+0.18,14.8,18.9,-4.0,-0.26,-0.05,Matches
247,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-039,2001,5,334,67,10.9,3.7,3,88,2,2,35,13,1.80,7,5,+2,+0.54,-0.02,6.9,5.0,+1.9,+0.53,-0.03,Matches
248,Alex Baena,es ESP,MF,Villarreal,es La Liga,23-288,2001,28,2269,81,74.2,25.2,26,85,13,2,33,0,1.75,48,33,+15,+0.59,+0.82,46.4,25.9,+20.5,+0.81,+1.09,Matches
249,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,21-051,2004,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches
250,Juma Bah,sl SLE,DF,Valladolid,es La Liga,19-023,2006,12,864,72,28.2,9.6,10,84,8,2,11,3,0.92,6,18,-12,-1.25,+0.64,8.9,16.3,-7.4,-0.77,+0.24,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
251,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,19-023,2006,7,416,59,14.9,4.6,5,80,4,2,9,3,1.71,3,7,-4,-0.87,-0.94,5.7,8.4,-2.7,-0.59,-0.92,Matches
252,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,27-268,1997,23,1138,49,36.1,12.6,14,65,2,9,26,3,1.48,22,19,+3,+0.24,+0.10,20.2,13.7,+6.6,+0.52,+0.48,Matches
