Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
154,Caíque França,br BRA,GK,Sport Recife,29-336,1995,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Ryan Francisco,br BRA,"FW,MF",São Paulo,18-165,2006,0.9,1,2,1,50.0,2.22,1.11,0.50,1.00,18.1,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches
156,Alan Franco,ec ECU,MF,Atlético Mineiro,26-257,1998,2.5,0,1,0,0.0,0.40,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
157,Alan Franco,ar ARG,DF,São Paulo,28-206,1996,5.0,0,4,0,0.0,0.80,0.00,0.00,,9.0,0,0,0,1.0,1.0,0.24,-1.0,-1.0,Matches
158,Lucas Freitas,br BRA,DF,Vasco da Gama,24-105,2001,5.4,0,2,0,0.0,0.37,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
159,Marlon Freitas,br BRA,MF,Botafogo (RJ),30-039,1995,6.8,0,1,1,100.0,0.15,0.15,0.00,0.00,17.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
160,Juan Freytes,ar ARG,DF,Fluminense,25-114,2000,7.0,0,4,2,50.0,0.57,0.29,0.00,0.00,18.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
161,Bruno Fuchs,br BRA,DF,Palmeiras,26-034,1999,2.6,0,1,0,0.0,0.39,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
162,Gabriel Fuentes,co COL,DF,Fluminense,28-085,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
163,Gabriel,br BRA,"FW,DF",Bahia,23-364,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
