Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
82,Billy Blacker,eng ENG,MF,Sheffield Utd,18-344,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
83,Corey Blackett-Taylor,eng ENG,"FW,MF",Derby County,27-223,1997,4.5,1,1,0,0,1,1,5,20.0,4,3,1,2,4,5,1,0,Matches
84,Harvey Blair,eng ENG,FW,Portsmouth,21-232,2003,3.3,4,1,2,0,2,0,5,0.0,5,6,0,6,4,8,2,0,Matches
85,Malachi Boateng,eng ENG,MF,Plymouth Argyle,22-303,2002,2.2,6,2,2,3,1,1,3,33.3,2,4,0,4,4,10,7,0,Matches
86,Eric Bocat,fr FRA,DF,Stoke City,25-292,1999,22.7,42,25,25,12,5,23,33,69.7,10,33,7,26,31,73,103,1,Matches
87,Jayden Bogle,eng ENG,DF,Leeds United,24-281,2000,42.5,98,62,49,34,15,48,84,57.1,36,36,2,34,37,135,91,1,Matches
88,Jonathan Bond,eng ENG,GK,Watford,31-350,1993,8.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
89,Neto Borges,br BRA,DF,Middlesbrough,28-233,1996,32.1,65,39,44,14,7,34,56,60.7,22,24,6,18,40,105,131,0,Matches
90,Raphael Borges Rodrigues,au AUS,"MF,FW",Coventry City,21-235,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
91,Josh Bowler,eng ENG,"FW,DF",Preston,26-060,1999,5.1,13,6,3,6,4,6,9,66.7,3,5,1,4,3,16,3,0,Matches
92,Josh Bowler,eng ENG,"MF,FW",Luton Town,26-060,1999,1.7,2,2,1,1,0,0,3,0.0,3,1,1,0,2,4,4,0,Matches
93,Sonny Bradley,eng ENG,DF,Derby County,33-233,1991,3.4,2,2,2,0,0,1,1,100.0,0,6,6,0,5,7,28,0,Matches
94,Tom Bradshaw,wls WAL,FW,Oxford United,32-281,1992,4.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,Matches
95,Tom Bradshaw,wls WAL,FW,Millwall,32-281,1992,5.0,4,2,0,2,2,2,3,66.7,1,1,0,1,0,4,5,0,Matches
96,Robbie Brady,ie IRL,"DF,FW",Preston,33-110,1992,18.2,39,28,13,18,8,19,34,55.9,15,26,3,23,22,61,39,0,Matches
97,Cohen Bramall,eng ENG,"DF,FW",Portsmouth,29-032,1996,5.1,6,6,3,2,1,4,8,50.0,4,2,0,2,3,9,14,0,Matches
98,Cameron Brannagan,eng ENG,MF,Oxford United,28-360,1996,32.2,58,35,36,22,0,38,65,58.5,27,38,14,24,31,89,44,0,Matches
99,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,26-016,1999,10.9,2,1,0,0,2,1,8,12.5,7,10,2,8,8,10,23,0,Matches
100,Rhian Brewster,eng ENG,"MF,FW",Sheffield Utd,25-033,2000,17.3,16,8,4,4,8,5,15,33.3,10,20,3,17,5,21,35,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Callum Brittain,eng ENG,DF,Blackburn,27-053,1998,29.5,56,34,34,17,5,38,47,80.9,9,36,15,21,21,77,129,1,Matches
102,Andre Brooks,eng ENG,"FW,MF",Sheffield Utd,21-257,2003,10.6,34,16,14,12,8,15,27,55.6,12,19,1,18,6,40,13,0,Matches
103,Ciaron Brown,nir NIR,DF,Oxford United,27-110,1998,40.1,28,20,23,5,0,17,24,70.8,7,49,35,14,49,77,267,0,Matches
104,Dejaune Brown,,FW,Derby County,,,4.3,5,4,0,3,2,3,5,60.0,2,7,1,6,2,7,6,0,Matches
105,Jacob Brown,sct SCO,"FW,MF",Luton Town,27-024,1998,13.5,10,6,3,5,2,6,13,46.2,7,10,4,6,5,15,24,0,Matches
106,Alan Browne,ie IRL,"MF,DF",Sunderland,30-019,1995,13.5,20,12,17,3,0,7,18,38.9,11,15,3,12,11,31,28,1,Matches
107,Josh Brownhill,eng ENG,"MF,FW",Burnley,29-136,1995,38.6,64,35,25,25,14,23,53,43.4,30,26,5,21,32,96,60,1,Matches
108,Joe Bryan,eng ENG,DF,Millwall,31-229,1993,36.4,90,61,51,33,6,51,89,57.3,38,60,19,41,69,159,132,2,Matches
109,Solomon Brynn,eng ENG,GK,Middlesbrough,24-186,2000,5.7,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,2,0,Matches
110,John Buckley,eng ENG,MF,Blackburn,25-203,1999,9.5,31,15,10,20,1,14,23,60.9,9,17,6,11,14,45,23,0,Matches
111,Mustapha Bundu,sl SLE,"FW,MF",Plymouth Argyle,28-066,1997,25.6,30,17,8,14,8,13,26,50.0,13,16,4,12,12,42,33,0,Matches
112,Wouter Burger,nl NED,MF,Stoke City,24-077,2001,33.4,82,55,35,41,6,36,66,54.5,30,46,14,32,51,133,89,0,Matches
113,Delano Burgzorg,sr SUR,"FW,MF",Middlesbrough,26-178,1998,24.3,39,20,12,16,11,14,25,56.0,11,18,1,17,3,42,12,1,Matches
114,Reece Burke,eng ENG,DF,Luton Town,28-244,1996,9.5,19,11,8,8,3,4,11,36.4,7,10,5,5,13,32,49,0,Matches
115,Finley Burns,eng ENG,"DF,MF",Hull City,21-321,2003,3.5,5,4,2,3,0,2,4,50.0,2,4,4,0,9,14,16,0,Matches
116,Harrison Burrows,eng ENG,DF,Sheffield Utd,23-112,2002,38.4,78,54,49,25,4,44,73,60.3,29,29,7,22,30,108,98,1,Matches
117,Mason Burstow,eng ENG,"FW,MF",Hull City,21-273,2003,10.6,20,8,13,7,0,7,21,33.3,14,17,3,14,3,23,21,0,Matches
118,Sam Byram,eng ENG,DF,Leeds United,31-230,1993,15.7,31,19,18,10,3,18,23,78.3,5,17,5,12,22,53,46,0,Matches
