Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
501,Danilo Al Saed,iq IRQ,"MF,FW",Heerenveen,26-070,1999,6,202,34,7.2,2.2,2,62,0,4,20,9,0.83,2,5,-3,-1.34,-0.95,2.1,4.6,-2.5,-1.10,-1.03,Matches
502,Ismael Saibari,ma MAR,MF,PSV Eindhoven,24-097,2001,26,1593,61,57.1,17.7,18,76,6,8,29,0,2.12,51,20,+31,+1.75,-0.28,38.4,17.0,+21.4,+1.21,-0.47,Matches
503,Anass Salah-Eddine,nl NED,DF,Twente,23-107,2002,18,1280,71,45.9,14.2,15,79,6,3,34,0,1.72,28,18,+10,+0.70,+0.46,25.2,16.3,+8.9,+0.63,+0.42,Matches
504,Giandro Sambo,cw CUW,"FW,DF",Heracles Almelo,18-250,2006,2,14,7,0.5,0.2,0,,0,2,7,3,0.50,0,1,-1,-6.43,-5.88,0.0,0.4,-0.4,-2.73,-2.22,Matches
505,Philippe Sandler,nl NED,DF,NEC Nijmegen,28-084,1997,16,1147,72,41.1,12.7,16,72,4,0,,0,1.38,19,21,-2,-0.16,-0.16,16.1,15.6,+0.5,+0.04,+0.01,Matches
506,Cisse Sandra,be BEL,"FW,MF",Willem II,21-140,2003,26,1873,72,67.1,20.8,22,81,11,4,22,0,0.69,18,34,-16,-0.77,-0.38,14.2,33.4,-19.2,-0.92,-0.12,Matches
507,Kodai Sano,jp JPN,"MF,FW",NEC Nijmegen,21-222,2003,22,1700,77,60.9,18.9,20,82,13,2,31,0,1.23,31,23,+8,+0.42,+1.25,27.1,18.1,+9.0,+0.48,+1.13,Matches
508,Mikki van Sas,nl NED,GK,Feyenoord,21-065,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
509,Antonio Satriano,it ITA,FW,Heracles Almelo,21-187,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
510,Leo Sauer,sk SVK,"MF,FW",NAC Breda,19-140,2005,28,2286,82,81.9,25.4,27,82,11,1,61,0,1.04,25,42,-17,-0.67,-0.13,28.3,41.1,-12.8,-0.50,+0.32,Matches
511,Yousri Sbai,nl NED,MF,NEC Nijmegen,20-270,2004,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
512,Jasper Schendelaar,nl NED,GK,Zwolle,24-245,2000,27,2430,90,87.1,27.0,27,90,27,0,,0,1.00,28,43,-15,-0.56,-1.56,30.1,46.0,-15.9,-0.59,+0.40,Matches
513,Tristan Schenkhuizen,nl NED,"MF,FW",Fortuna Sittard,20-297,2004,2,6,3,0.2,0.1,0,,0,2,3,12,0.00,0,0,0,0.00,+0.58,0.2,0.0,+0.2,+2.27,+2.57,Matches
514,Sem Scheperman,nl NED,MF,Heracles Almelo,22-315,2002,22,1549,70,55.5,17.2,16,86,11,6,28,1,1.09,20,30,-10,-0.58,0.00,20.3,26.8,-6.5,-0.38,+0.33,Matches
515,Niek Schiks,nl NED,GK,PSV Eindhoven,21-091,2004,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
516,Lasse Schöne,dk DEN,MF,NEC Nijmegen,38-343,1986,15,279,19,10.0,3.1,2,55,0,13,13,15,0.80,2,4,-2,-0.65,-0.65,3.8,6.8,-3.0,-0.98,-1.12,Matches
517,Youri Schoonderwaldt,nl NED,GK,Sparta R'dam,25-053,2000,0,,,,,0,,0,0,,31,,,,,,,,,,,,Matches
