Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
64,Biel,br BRA,"MF,FW",Sporting CP,24-034,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Raúl Blanco,es ESP,FW,Casa Pia,23-278,2001,2.8,7,2.53,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Paulinho Bóia,br BRA,"FW,MF",Nacional,26-313,1998,10.0,34,3.40,27,3,3,0,0,1,2,0.20,2,0,0,0,0,0,Matches
67,Kévin Boma,tg TOG,DF,Estoril,22-166,2002,25.4,15,0.59,12,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
68,Pedro Bondo,ao ANG,"DF,MF",Famalicão,20-170,2004,1.4,4,2.86,2,2,0,0,0,0,1,0.71,1,0,0,0,0,0,Matches
69,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,29-169,1995,20.8,49,2.36,37,0,2,4,5,1,3,0.14,2,0,0,0,0,1,Matches
70,Toni Borevkovic,hr CRO,DF,Vitória,27-321,1997,24.9,9,0.36,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Daniel Borges,br BRA,"MF,FW",Santa Clara,22-029,2003,2.0,4,2.01,2,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Gonçalo Borges,pt POR,"FW,MF",Porto,24-037,2001,7.8,28,3.38,21,1,0,4,2,0,2,0.24,2,0,0,0,0,0,Matches
73,Róbert Boženík,sk SVK,FW,Boavista,25-168,1999,27.6,37,1.34,18,1,2,10,5,1,3,0.11,0,0,0,2,1,0,Matches
74,Daniel Bragança,pt POR,MF,Sporting CP,25-343,1999,12.0,55,4.60,40,0,6,5,2,2,7,0.58,5,0,1,1,0,0,Matches
75,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,17.5,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
