Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
185,Afonso freitas,pt POR,DF,Nacional,25-028,2000,0.2,8,2,3,3,2,0,8,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches
186,Iván Fresneda,es ESP,"DF,MF",Sporting CP,20-219,2004,10.6,667,18,137,324,211,20,667,23,6,26.1,16,69.6,364,2125,1048,28,12,4,18,5,381,70,Matches
187,Godfried Frimpong,nl NED,DF,Moreirense,25-288,1999,27.2,1450,94,615,569,279,17,1450,27,9,33.3,18,66.7,618,2552,1048,28,23,2,28,12,719,96,Matches
188,Kanya Fujimoto,jp JPN,MF,Gil Vicente FC,25-308,1999,24.7,966,14,129,449,394,71,965,35,19,54.3,15,42.9,558,2789,1371,34,20,8,39,23,701,124,Matches
189,Taichi Fukui,jp JPN,MF,Arouca,20-294,2004,23.3,1270,61,327,744,212,14,1270,23,9,39.1,9,39.1,683,3105,1561,24,20,3,34,13,865,30,Matches
190,Rúben Furtado,pt POR,"FW,MF",Braga,19-155,2005,0.6,27,0,1,10,16,5,27,4,3,75.0,1,25.0,21,208,97,4,1,3,2,1,24,5,Matches
191,Tiago Gabriel,pt POR,DF,Estrela,20-130,2004,10.9,531,71,315,206,13,6,531,3,2,66.7,1,33.3,230,1163,561,2,1,0,5,3,289,1,Matches
192,Galeno,br BRA,"FW,DF",Porto,27-195,1997,16.1,940,23,150,330,476,62,934,35,14,40.0,16,45.7,539,3251,1874,56,41,17,34,15,625,175,Matches
193,Tiago Galletto,uy URU,MF,AVS Futebol,22-359,2002,0.7,16,0,4,8,4,0,16,0,0,,0,,1,2,0,0,0,0,0,0,4,0,Matches
194,Nino Galović,hr CRO,DF,Arouca,32-303,1992,1.0,88,7,48,40,0,0,88,0,0,,0,,46,237,150,0,0,0,0,0,76,0,Matches
