Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
494,Joaquín Pereyra,ar ARG,MF,Minnesota Utd,26-155,1998,8.9,47,5.25,26,10,5,4,2,0,4,0.45,2,1,0,1,0,0,Matches
495,Jonathan Perez,mx MEX,"FW,MF",Nashville SC,22-107,2003,1.8,4,2.20,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
496,Luca Petrasso,ca CAN,DF,CF Montréal,24-323,2000,10.3,21,2.04,20,0,1,0,0,0,1,0.10,1,0,0,0,0,0,Matches
497,Raoul Petretta,it ITA,DF,Toronto FC,28-042,1997,6.9,5,0.72,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
498,Fafà Picault,ht HAI,"FW,MF",Inter Miami,34-071,1991,3.6,5,1.39,5,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
499,Samuel Piette,ca CAN,MF,CF Montréal,30-174,1994,6.3,5,0.79,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
500,Ian Pilcher,us USA,DF,San Diego FC,22-045,2003,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
501,Mauricio Pineda,us USA,MF,Chicago Fire,27-200,1997,7.3,14,1.91,14,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
502,Ariath Piol,au AUS,FW,Real Salt Lake,20-206,2004,5.6,9,1.61,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
503,Gabriel Pirani,br BRA,"MF,FW",D.C. United,23-023,2002,6.9,19,2.73,17,0,1,1,0,0,2,0.29,2,0,0,0,0,0,Matches
504,Matt Polster,us USA,MF,NE Revolution,31-331,1993,6.8,11,1.61,8,0,0,1,1,1,2,0.29,2,0,0,0,0,0,Matches
505,Célio Pompeu,br BRA,"MF,FW",St. Louis,25-146,1999,3.6,13,3.62,9,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
506,Ezequiel Ponce,ar ARG,FW,Houston Dynamo,28-037,1997,10.9,12,1.10,7,0,0,4,1,0,1,0.09,0,0,0,1,0,0,Matches
507,Alvas Powell,jm JAM,DF,FC Cincinnati,30-291,1994,2.7,9,3.35,6,1,0,1,1,0,1,0.37,1,0,0,0,0,0,Matches
508,Ralph Priso-Mbongue,ca CAN,MF,Vancouver W'caps,22-276,2002,3.7,8,2.14,8,0,0,0,0,0,2,0.54,2,0,0,0,0,0,Matches
509,Andrew Privett,us USA,DF,Charlotte,24-276,2000,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
510,John Pulskamp,us USA,GK,Sporting KC,24-016,2001,11.0,1,0.09,0,1,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
511,Ahmed Qasem,se SWE,"MF,FW",Nashville SC,21-297,2003,5.6,15,2.69,11,0,0,3,1,0,1,0.18,1,0,0,0,0,0,Matches
512,Philip Quinton,us USA,DF,Real Salt Lake,25-170,1999,6.0,4,0.67,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
513,Nemanja Radoja,rs SRB,MF,Sporting KC,32-088,1993,7.2,10,1.39,9,0,0,1,0,0,2,0.28,2,0,0,0,0,0,Matches
514,Jeremy Rafanello,us USA,MF,Philadelphia Union,25-021,2000,0.3,2,6.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
515,Jackson Ragen,us USA,DF,Seattle Sounders,26-223,1998,6.7,5,0.74,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
516,Brooklyn Raines,us USA,MF,Houston Dynamo,20-055,2005,3.7,4,1.08,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
517,Christian Ramirez,us USA,FW,LA Galaxy,34-031,1991,6.6,9,1.36,8,0,0,0,1,0,2,0.30,1,0,0,0,1,0,Matches
518,Rubén Ramos,us USA,MF,LA Galaxy,18-103,2007,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
519,Tim Ream,us USA,DF,Charlotte,37-212,1987,9.3,8,0.86,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
520,Federico Redondo,ar ARG,MF,Inter Miami,22-107,2003,4.1,9,2.21,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
521,Seymour Reid,jm JAM,FW,NYCFC,17-062,2008,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
522,William Reilly,us USA,MF,Atlanta Utd,22-153,2002,1.0,6,5.93,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
523,Marco Reus,de GER,"MF,FW",LA Galaxy,35-339,1989,3.6,25,6.97,16,3,1,1,2,2,1,0.28,1,0,0,0,0,0,Matches
524,Andrés Reyes,co COL,DF,San Diego FC,25-239,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
525,Justin Reynolds,us USA,DF,Chicago Fire,20-274,2004,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
526,Andrew Rick,us USA,GK,Philadelphia Union,19-095,2006,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
527,Jamar Ricketts,us USA,"DF,MF",SJ Earthquakes,23-193,2001,4.4,5,1.13,5,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
528,Kalani Rienzi,us USA,"MF,DF",Seattle Sounders,22-312,2002,4.6,6,1.31,5,0,0,0,0,1,1,0.22,1,0,0,0,0,0,Matches
529,Rocco Ríos Novo,ar ARG,GK,Inter Miami,22-335,2002,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
530,Birk Risa,no NOR,"DF,MF",NYCFC,27-081,1998,5.1,3,0.59,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
531,Reid Roberts,us USA,DF,SJ Earthquakes,21-147,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
532,Miles Robinson,us USA,DF,FC Cincinnati,28-052,1997,8.2,5,0.61,5,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
533,Stian Rode Gregersen,no NOR,DF,Atlanta Utd,29-353,1995,6.8,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
534,Rodrigues,br BRA,DF,SJ Earthquakes,27-207,1997,7.5,13,1.74,9,0,1,1,2,0,2,0.27,2,0,0,0,0,0,Matches
535,Jonathan Rodríguez,uy URU,FW,Portland Timbers,31-303,1993,1.0,7,7.24,2,0,0,2,3,0,2,2.07,0,0,0,1,1,0,Matches
536,Memo Rodriguez,us USA,MF,Sporting KC,29-129,1995,3.0,11,3.65,5,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
537,Nicolás Rodríguez,co COL,"DF,FW",Orlando City,21-010,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
538,Sam Rogers,us USA,DF,Chicago Fire,25-353,1999,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
539,Alex Roldan,sv SLV,"MF,DF",Seattle Sounders,28-281,1996,6.1,24,3.91,20,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
540,Cristian Roldan,us USA,"MF,FW",Seattle Sounders,29-336,1995,10.1,31,3.07,26,0,1,1,3,0,4,0.40,4,0,0,0,0,0,Matches
541,Nicolás Romero,ar ARG,DF,Minnesota Utd,21-158,2003,6.8,2,0.30,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
542,David Romney,us USA,DF,SJ Earthquakes,31-327,1993,11.0,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
543,Connor Ronan,ie IRL,"MF,FW",Colorado Rapids,27-060,1998,1.2,5,4.33,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
544,Anderson Rosa,br BRA,DF,Colorado Rapids,23-173,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
545,Joseph Rosales,hn HON,DF,Minnesota Utd,24-180,2000,5.9,22,3.76,12,6,0,3,1,0,1,0.17,0,0,0,1,0,0,Matches
546,Keegan Rosenberry,us USA,DF,Colorado Rapids,31-145,1993,7.4,4,0.54,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
547,Daniel Rosero,co COL,DF,Sporting KC,31-211,1993,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
548,Diego Rossi,uy URU,"FW,MF",Columbus Crew,27-061,1998,10.8,34,3.14,20,3,5,4,2,0,3,0.28,1,1,0,1,0,0,Matches
549,Sigurd Rosted,no NOR,DF,Toronto FC,30-287,1994,8.0,3,0.38,1,0,0,1,1,0,1,0.13,0,0,0,0,1,0,Matches
550,Paul Rothrock,us USA,"MF,FW",Seattle Sounders,26-116,1999,9.2,28,3.04,20,2,2,1,3,0,2,0.22,1,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
551,Kye Rowles,au AUS,DF,D.C. United,26-315,1998,9.0,8,0.89,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
552,Diego Rubio,cl CHI,"FW,MF",Austin,31-355,1993,1.6,8,4.83,7,0,0,0,1,0,1,0.60,1,0,0,0,0,0,Matches
553,Pablo Ruíz,ar ARG,MF,Real Salt Lake,26-136,1998,2.1,13,6.32,7,3,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
554,David Ruíz-Ochoa,hn HON,"MF,FW",Inter Miami,21-086,2004,0.8,1,1.20,0,0,0,0,1,0,1,1.20,0,0,0,0,1,0,Matches
555,Albert Rusnák,sk SVK,"FW,MF",Seattle Sounders,30-302,1994,7.8,53,6.80,31,16,1,4,0,1,5,0.64,4,0,1,0,0,0,Matches
556,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,22-234,2002,9.5,16,1.68,13,0,1,2,0,0,1,0.11,1,0,0,0,0,0,Matches
557,Cesar Ruvalcaba,us USA,DF,Columbus Crew,23-296,2001,1.6,4,2.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
558,Emmanuel Sabbi,us USA,FW,Vancouver W'caps,27-132,1997,4.0,13,3.28,7,0,2,3,0,1,2,0.50,1,0,0,1,0,0,Matches
559,Besard Sabovic,se SWE,MF,Austin,27-120,1998,7.3,14,1.93,11,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches
560,Anisse Saidi,tn TUN,MF,San Diego FC,16-319,2008,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
561,Adam Saldaña,us USA,MF,LAFC,23-087,2002,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
