Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Luiz Araújo,br BRA,"FW,MF",Flamengo,28-337,1996,1.8,61,85,71.8,891,144,35,42,83.3,19,29,65.5,3,6,50.0,1,0.7,0.2,+0.3,2,4,1,0,7,Matches
27,Matheus Araújo,br BRA,"MF,FW",Ceará,22-348,2002,1.8,32,45,71.1,552,180,16,21,76.2,9,11,81.8,4,8,50.0,1,0.5,0.2,+0.5,2,4,5,2,6,Matches
28,Michel Araujo,uy URU,DF,Bahia,28-219,1996,0.1,3,4,75.0,66,42,0,0,,3,3,100.0,0,1,0.0,0,0.2,0.0,-0.2,1,1,1,0,2,Matches
29,Alexander Aravena,cl CHI,"FW,MF",Grêmio,22-241,2002,0.6,19,22,86.4,288,46,9,10,90.0,9,10,90.0,0,0,,0,0.2,0.1,-0.2,1,1,1,1,0,Matches
30,Robert Arboleda,ec ECU,DF,São Paulo,33-195,1991,3.0,134,157,85.4,2814,878,31,33,93.9,89,93,95.7,14,27,51.9,0,0.0,0.0,0.0,0,3,0,0,3,Matches
31,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6.0,159,213,74.6,4290,2719,21,21,100.0,97,100,97.0,40,91,44.0,0,0.1,0.0,-0.1,2,5,0,0,0,Matches
32,Matias Arezo,uy URU,FW,Grêmio,22-165,2002,2.0,19,32,59.4,327,68,7,16,43.8,10,11,90.9,1,1,100.0,1,0.2,0.1,+0.8,4,2,2,1,3,Matches
33,Jhon Arias,co COL,FW,Fluminense,27-226,1997,7.0,379,457,82.9,5307,1346,234,252,92.9,108,123,87.8,17,46,37.0,3,2.1,1.9,+0.9,22,22,20,10,36,Matches
34,Santiago Arias,co COL,DF,Bahia,33-112,1992,0.9,50,72,69.4,819,221,24,29,82.8,24,31,77.4,2,9,22.2,0,0.0,0.1,0.0,1,1,1,1,3,Matches
35,Arthur,br BRA,FW,Sport Recife,22-054,2003,2.2,26,30,86.7,348,42,16,18,88.9,9,10,90.0,0,0,,0,0.3,0.1,-0.3,8,1,0,0,1,Matches
36,Artur,br BRA,"FW,MF",Botafogo (RJ),27-079,1998,5.6,131,169,77.5,2091,552,65,73,89.0,53,68,77.9,7,17,41.2,2,0.7,1.1,+1.3,11,9,7,2,18,Matches
37,Rodrigo Atencio,ar ARG,FW,Sport Recife,22-309,2002,1.5,50,66,75.8,860,163,28,32,87.5,14,19,73.7,6,10,60.0,0,0.0,0.1,0.0,2,9,1,0,7,Matches
38,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-068,2000,1.6,37,49,75.5,414,74,26,32,81.3,6,9,66.7,1,1,100.0,0,0.1,0.1,-0.1,3,4,0,0,3,Matches
39,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,24-310,2000,1.4,13,19,68.4,152,20,12,14,85.7,1,3,33.3,0,0,,0,0.1,0.0,-0.1,3,0,0,0,0,Matches
40,Aylon,br BRA,FW,Ceará,33-028,1992,2.4,38,53,71.7,629,162,23,29,79.3,12,17,70.6,3,4,75.0,0,0.0,0.1,0.0,1,3,1,1,6,Matches
41,Matheus Babi,br BRA,FW,Juventude,27-291,1997,1.0,13,17,76.5,175,27,8,10,80.0,5,7,71.4,0,0,,0,0.1,0.1,-0.1,2,1,0,0,1,Matches
42,Matheus Bahia,br BRA,DF,Ceará,25-267,1999,4.9,146,196,74.5,2565,1098,64,80,80.0,66,81,81.5,14,23,60.9,1,0.7,1.2,+0.3,8,12,10,8,11,Matches
43,Gabriel Baralhas,br BRA,MF,Vitória,26-207,1998,4.2,146,169,86.4,2551,613,77,84,91.7,54,59,91.5,14,21,66.7,0,0.2,0.1,-0.2,3,18,3,0,17,Matches
44,Danilo Barbosa,br BRA,DF,Botafogo (RJ),29-066,1996,0.2,7,7,100.0,119,63,3,3,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
45,Diogo Barbosa,br BRA,"DF,FW",Fortaleza,32-261,1992,2.9,81,103,78.6,1232,366,48,51,94.1,31,40,77.5,1,7,14.3,0,0.0,0.0,0.0,2,6,0,0,7,Matches
46,Gabriel Barbosa,br BRA,FW,Cruzeiro,28-248,1996,2.2,28,35,80.0,362,42,20,20,100.0,7,8,87.5,0,2,0.0,0,0.0,0.1,0.0,0,0,0,0,2,Matches
47,Lucas Barbosa,br BRA,FW,RB Bragantino,24-072,2001,3.4,53,80,66.3,785,218,30,35,85.7,20,30,66.7,2,9,22.2,1,0.2,0.3,+0.8,1,4,2,0,9,Matches
48,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-050,1995,5.0,241,305,79.0,5078,1988,78,87,89.7,123,134,91.8,38,75,50.7,0,0.0,0.1,0.0,0,27,1,0,23,Matches
49,Chrystian Barletta,br BRA,FW,Sport Recife,23-304,2001,5.4,135,182,74.2,1808,544,88,103,85.4,28,38,73.7,8,18,44.4,0,0.3,0.7,-0.3,5,7,7,2,17,Matches
50,Álvaro Barreal,ar ARG,"FW,MF",Santos,24-261,2000,2.9,86,106,81.1,1493,464,50,56,89.3,24,30,80.0,12,17,70.6,0,0.9,0.7,-0.9,9,3,1,1,9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
